rxns	rxnnames	subsystems	keggid	reactomeid	fbasolutiontissuev
AATA	2 aminoadipate transaminase	Lysine metabolism	R01939	R-BTA-508561; R-BTA-70952; R-CFA-508561; R-CFA-70952; R-DDI-508561; R-DDI-70952; R-DRE-508561; R-DRE-70952; R-GGA-508561; R-GGA-70952; R-HSA-508561; R-HSA-70952; R-MMU-508561; R-MMU-70952; R-RNO-508561; R-RNO-70952; R-SCE-508561; R-SCE-70952; R-SPO-508561; R-SPO-70952; R-SSC-508561; R-SSC-70952; R-TGU-508561; R-TGU-70952; R-XTR-508561; R-XTR-70952	0
ABUTt2rL	4-aminobutyrate reversible transport in via proton symport (lysosome)	Transport, lysosomal			0
ABUTt4_2_r	ABUTt4 LPAREN 2 RPAREN r	Transport, extracellular			-1000
ACACT10m	Acetyl-CoA C-acyltransferase	Valine, leucine, and isoleucine metabolism	R00927	R-ATH-70844; R-BTA-70844; R-CEL-70844; R-CFA-70844; R-DDI-70844; R-DME-70844; R-DRE-70844; R-GGA-70844; R-HSA-70844; R-MMU-70844; R-OSA-70844; R-PFA-70844; R-RNO-70844; R-SCE-70844; R-SPO-70844; R-SSC-70844; R-TGU-70844; R-XTR-70844	-0
ACACT1m	Acetyl CoA C acetyltransferase  mitochondrial	Tryptophan metabolism	R00238	R-ATH-73916; R-ATH-74181; R-BTA-73916; R-BTA-74181; R-BTA-8848215; R-CEL-73916; R-CEL-74181; R-CFA-73916; R-CFA-74181; R-CFA-8848215; R-DDI-73916; R-DDI-74181; R-DME-73916; R-DME-74181; R-DME-8848215; R-DRE-73916; R-DRE-74181; R-DRE-8848215; R-GGA-73916; R-GGA-74181; R-GGA-8848215; R-HSA-73916; R-HSA-74181; R-HSA-8848215; R-MMU-73916; R-MMU-74181; R-MMU-8848215; R-OSA-73916; R-OSA-74181; R-PFA-73916; R-PFA-74181; R-RNO-73916; R-RNO-74181; R-RNO-8848215; R-SCE-73916; R-SCE-74181; R-SCE-8848215; R-SPO-73916; R-SPO-74181; R-SSC-73916; R-SSC-74181; R-SSC-8848215; R-TGU-73916; R-TGU-74181; R-TGU-8848215; R-XTR-73916; R-XTR-74181; R-XTR-8848215	0
ACACT1x	Acetyl-CoA:acetyl-CoA C-acetyltransferase	Cholesterol metabolism	R00238	R-ATH-73916; R-ATH-74181; R-BTA-73916; R-BTA-74181; R-BTA-8848215; R-CEL-73916; R-CEL-74181; R-CFA-73916; R-CFA-74181; R-CFA-8848215; R-DDI-73916; R-DDI-74181; R-DME-73916; R-DME-74181; R-DME-8848215; R-DRE-73916; R-DRE-74181; R-DRE-8848215; R-GGA-73916; R-GGA-74181; R-GGA-8848215; R-HSA-73916; R-HSA-74181; R-HSA-8848215; R-MMU-73916; R-MMU-74181; R-MMU-8848215; R-OSA-73916; R-OSA-74181; R-PFA-73916; R-PFA-74181; R-RNO-73916; R-RNO-74181; R-RNO-8848215; R-SCE-73916; R-SCE-74181; R-SCE-8848215; R-SPO-73916; R-SPO-74181; R-SSC-73916; R-SSC-74181; R-SSC-8848215; R-TGU-73916; R-TGU-74181; R-TGU-8848215; R-XTR-73916; R-XTR-74181; R-XTR-8848215	0
ACALDtm	Acetaldehyde mitochondrial diffusion	Transport, mitochondrial		R-HSA-449872	-999.62722
ACCOAgt	Acetyl-coa transport	Transport, extracellular		R-BTA-727759; R-CEL-727759; R-CFA-727759; R-DDI-727759; R-DME-727759; R-DRE-727759; R-GGA-727759; R-HSA-727759; R-MMU-727759; R-PFA-727759; R-RNO-727759; R-SCE-727759; R-SPO-727759; R-SSC-727759; R-TGU-727759; R-XTR-727759	0
ACCOALm	Acetate-CoA ligase (AMP-forming)	Propanoate metabolism			0
ACCOAtr	Acetyl-coa transport	Transport, endoplasmic reticular		R-BTA-727759; R-CEL-727759; R-CFA-727759; R-DDI-727759; R-DME-727759; R-DRE-727759; R-GGA-727759; R-HSA-727759; R-MMU-727759; R-PFA-727759; R-RNO-727759; R-SCE-727759; R-SPO-727759; R-SSC-727759; R-TGU-727759; R-XTR-727759	0
ACETONEt2	Acetone transport via proton symport	Transport, extracellular			-0
ACGAMK	N-acetylglucosamine kinase	Aminosugar metabolism	R01201		-0
ACGAMPM	Phosphoacetylglucosamine mutase	Aminosugar metabolism		R-ATH-446185; R-BTA-446185; R-CEL-446185; R-CFA-446185; R-DME-446185; R-DRE-446185; R-GGA-446185; R-HSA-446185; R-MMU-446185; R-OSA-446185; R-PFA-446185; R-RNO-446185; R-SCE-446185; R-SPO-446185; R-SSC-446185; R-TGU-446185; R-XTR-446185	0
ACGPID	N-acetylglucosaminylphosphatidylinositol deacetylase	Phosphatidylinositol phosphate metabolism	R03482		-0
ACHVESSEC_1	Acetylcholine Secretion via Secretory Vesicle (ATP Driven)	Transport, extracellular			0
ACNAMlt	N-acetylneuraminate transport into lysososme	Transport, lysosomal			0
ACNAMPH	N-Acetylneuraminate 9-phosphate phosphohydrolase	Aminosugar metabolism			-0
ACOAD10m	2-methylacyl-coa dehydrogenase, trans-2-Methylbut-2-enoyl-CoA forming	Valine, leucine, and isoleucine metabolism		R-BTA-70800; R-CEL-70800; R-CFA-70800; R-DDI-70800; R-DME-70800; R-DRE-70800; R-GGA-70800; R-HSA-70800; R-MMU-70800; R-RNO-70800; R-SSC-70800; R-TGU-70800; R-XTR-70800	0
ACOAD1fm	Acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial	Butanoate metabolism	R01175	R-BTA-77319; R-CFA-77319; R-DME-77319; R-DRE-77319; R-GGA-77319; R-HSA-77319; R-MMU-77319; R-RNO-77319; R-SSC-77319; R-TGU-77319; R-XTR-77319	0
ACOAD9m	2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming	Valine, leucine, and isoleucine metabolism		R-BTA-70859; R-CEL-70859; R-CFA-70859; R-DDI-70859; R-DRE-70859; R-GGA-70859; R-HSA-70859; R-MMU-70859; R-RNO-70859; R-SSC-70859; R-TGU-70859; R-XTR-70859	0
ACONTm	Aconitate hydratase	Citric acid cycle	R01324		1000
ACP1_FMN	Acid phosphatase (FMN)	Vitamin B2 metabolism	R00548	R-ATH-196950; R-BTA-196950; R-CEL-196950; R-CFA-196950; R-DRE-196950; R-GGA-196950; R-HSA-196950; R-MMU-196950; R-OSA-196950; R-RNO-196950; R-SSC-196950; R-XTR-196950	0
ACRNtm	O acetylcarnintine transport into mitochondria via diffusion	Transport, mitochondrial			-1000
ACS2	Acetyl-CoA synthase (propionate)	Propanoate metabolism			0
ACSm	Acetyl CoA synthetase	Glycolysis/gluconeogenesis	R00235	R-ATH-71735; R-BTA-449911; R-BTA-71735; R-BTA-8875071; R-CEL-71735; R-CFA-449911; R-CFA-71735; R-CFA-8875071; R-DDI-449911; R-DDI-8875071; R-DME-71735; R-DME-8875071; R-DRE-449911; R-DRE-71735; R-DRE-8875071; R-GGA-449911; R-GGA-71735; R-GGA-8875071; R-HSA-449911; R-HSA-71735; R-HSA-8875071; R-MMU-449911; R-MMU-71735; R-MMU-8875071; R-OSA-71735; R-PFA-449911; R-RNO-449911; R-RNO-71735; R-RNO-8875071; R-SCE-449911; R-SCE-71735; R-SCE-8875071; R-SPO-449911; R-SSC-449911; R-SSC-71735; R-SSC-8875071; R-TGU-449911; R-TGU-71735; R-TGU-8875071; R-XTR-449911; R-XTR-71735; R-XTR-8875071	0
ACt2m	Acetate mitochondrial transport via proton symport	Transport, mitochondrial			-1000
ACTLMO	Acetol monooxygenase	Pyruvate metabolism			0
ACTNMO	Acetone monooxygenase	Pyruvate metabolism			-0
ADEt	Adenine transport via diffusion	Transport, extracellular			-0
ADK1m	Adenylate kinase  mitochondrial	Nucleotide interconversion	R00127	R-ATH-110144; R-ATH-110145; R-BTA-110144; R-BTA-110145; R-CEL-110144; R-CEL-110145; R-CFA-110144; R-CFA-110145; R-DDI-110144; R-DDI-110145; R-DME-110144; R-DME-110145; R-DRE-110144; R-DRE-110145; R-GGA-110144; R-GGA-110145; R-HSA-110144; R-HSA-110145; R-MMU-110144; R-MMU-110145; R-OSA-110144; R-OSA-110145; R-PFA-110144; R-PFA-110145; R-RNO-110144; R-RNO-110145; R-SCE-110144; R-SCE-110145; R-SPO-110144; R-SPO-110145; R-SSC-110144; R-SSC-110145; R-TGU-110144; R-TGU-110145; R-XTR-110144; R-XTR-110145	-43.0302331703064
ADK3	Adentylate kinase (GTP)	Nucleotide interconversion		R-BTA-1008248; R-CEL-1008248; R-CFA-1008248; R-DDI-1008248; R-DME-1008248; R-DRE-1008248; R-GGA-1008248; R-HSA-1008248; R-MMU-1008248; R-RNO-1008248; R-SCE-1008248; R-SSC-1008248; R-TGU-1008248; R-XTR-1008248	-835.601387721021
ADK3m	Adentylate kinase  GTP 	Nucleotide interconversion		R-BTA-1008248; R-CEL-1008248; R-CFA-1008248; R-DDI-1008248; R-DME-1008248; R-DRE-1008248; R-GGA-1008248; R-HSA-1008248; R-MMU-1008248; R-RNO-1008248; R-SCE-1008248; R-SSC-1008248; R-TGU-1008248; R-XTR-1008248	999.62722
ADKd	Adenylate kinase (d form)	Nucleotide interconversion			648.799473950164
ADNCYC	Adenylate cyclase	Nucleotide interconversion	R00089	R-BTA-111930; R-BTA-164377; R-BTA-170676; R-BTA-381607; R-BTA-5610727; R-CEL-111930; R-CEL-164377; R-CEL-170676; R-CFA-111930; R-CFA-164377; R-CFA-170676; R-CFA-381607; R-CFA-421879; R-CFA-5610727; R-DDI-111930; R-DDI-164377; R-DDI-170676; R-DDI-381607; R-DDI-5610727; R-DME-111930; R-DME-164377; R-DME-170676; R-DME-381607; R-DME-5610727; R-DRE-111930; R-DRE-164377; R-DRE-170676; R-DRE-381607; R-DRE-5610727; R-GGA-111930; R-GGA-164377; R-GGA-170676; R-GGA-381607; R-GGA-5610727; R-HSA-111930; R-HSA-164377; R-HSA-170676; R-HSA-381607; R-HSA-392129; R-HSA-5211224; R-HSA-5610727; R-MMU-111930; R-MMU-164377; R-MMU-170676; R-MMU-381607; R-MMU-5610727; R-RNO-111930; R-RNO-164377; R-RNO-170676; R-RNO-381607; R-RNO-5610727; R-SSC-111930; R-SSC-164377; R-SSC-170676; R-SSC-381607; R-SSC-5610727; R-TGU-111930; R-TGU-164377; R-TGU-170676; R-TGU-381607; R-TGU-5610727; R-XTR-111930; R-XTR-164377; R-XTR-170676; R-XTR-381607; R-XTR-5610727	0
ADNK1m	Adenosine kinase, mitochondria	Nucleotide interconversion	R00185		535.91432943848
ADNt	Adenosine facilated transport in cytosol	Transport, extracellular			1000
ADNt4	Adenosine transport (Na/Adn cotransport)	Transport, extracellular			0
ADNtl	Adenosine facilated transport from lysosome	Transport, lysosomal			-0
ADNtm	Equilibrative nucleoside transporter, mitochondrial	Transport, mitochondrial			535.91432943848
ADPMAN	ADPmannose diphosphatase	Nucleotide interconversion			-0
ADPRIBt	ADPribose transport	Transport, extracellular			-0
ADRNCPT1	Carnitine O-palmitoyltransferase	Fatty acid oxidation			0
ADRNCRNt	Transport into the mitochondria (carnitine)	Fatty acid oxidation			-1000
ADRNLPVESSEC_1	Adrenaline Secretion via Secretory Vesicle (ATP Driven)	Transport, extracellular			0
AG13T16g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	Keratan sulfate synthesis			0
AG13T17g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	Keratan sulfate synthesis			0
AG13T18g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	Keratan sulfate synthesis			0
AG13T1g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	Keratan sulfate synthesis			0
AG13T2g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	Keratan sulfate synthesis			0
AG13T3g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	Keratan sulfate synthesis			0
AGMTm	Agmatinase (m)	Arginine and proline metabolism	R01157	R-ATH-350604; R-BTA-350604; R-CEL-350604; R-CFA-350604; R-DRE-350604; R-GGA-350604; R-HSA-350604; R-MMU-350604; R-OSA-350604; R-RNO-350604; R-SCE-350604; R-SPO-350604; R-SSC-350604; R-TGU-350604; R-XTR-350604	-0
AGPAT1_1	1-Acylglycerol-3-Phosphate O-Acyltransferase 1	Triacylglycerol synthesis			-0
AGTix	Alanine---glyoxylate aminotransferase, glyoxysome	Alanine and aspartate metabolism	R00369	R-ATH-389684; R-ATH-904864; R-BTA-389684; R-BTA-904864; R-CEL-389684; R-CEL-904864; R-CFA-389684; R-CFA-904864; R-DDI-389684; R-DME-389684; R-DME-904864; R-DRE-389684; R-DRE-904864; R-GGA-389684; R-GGA-904864; R-HSA-389684; R-HSA-904864; R-MMU-389684; R-MMU-904864; R-OSA-389684; R-OSA-904864; R-RNO-389684; R-RNO-904864; R-SCE-389684; R-SCE-904864; R-SPO-904864; R-SSC-389684; R-SSC-904864; R-TGU-389684; R-TGU-904864; R-XTR-389684; R-XTR-904864	-0
AHANDROSTANGLCte	Glucuronidated compound transport	Transport, extracellular			-0
AHEXASE2ly	Beta-N-acetylhexosaminidase, lysosomal	N-glycan degradation			0
AHEXASEly	Beta-N-acetylhexosaminidase, lysosomal	N-glycan degradation			0
AKGMALtm	Dicarboxylate/tricarboxylate carrier (mal:akg), mitochondrial	Transport, mitochondrial		R-ATH-198440; R-ATH-376851; R-BTA-198440; R-BTA-376851; R-CEL-198440; R-CEL-376851; R-CFA-198440; R-CFA-376851; R-DME-198440; R-DME-376851; R-DRE-198440; R-DRE-376851; R-GGA-198440; R-GGA-376851; R-GGA-376887; R-HSA-198440; R-HSA-376851; R-MMU-198440; R-MMU-376851; R-OSA-198440; R-OSA-376851; R-PFA-198440; R-PFA-376851; R-RNO-198440; R-RNO-376851; R-SCE-198440; R-SCE-376851; R-SSC-198440; R-SSC-376851; R-TGU-198440; R-TGU-376851; R-XTR-198440; R-XTR-376851	-1000
AKGt4_3	AKG transport via sodium symport	Transport, extracellular			-1000
AKR1D	Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	Bile acid synthesis			0
AKR1D2	Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	Bile acid synthesis			0
ALADGLNexR	L-alanine/glutamine reversible exchange	Transport, extracellular			-1000
ALADGLYexR	D-alanine/glycine reversible exchange	Transport, extracellular			1.9792297061296e-13
ALAGLNexR	L-alanine/glutamine reversible exchange	Transport, extracellular			-359.664479106854
ALAGLYexR	L-alanine/glycine reversible exchange	Transport, extracellular			-640.335520893146
ALASm	5 aminolevulinate synthase	Glycine, serine, alanine, and threonine metabolism	R00830	R-ATH-189442; R-BTA-189442; R-CFA-189442; R-DDI-189442; R-DME-189442; R-DRE-189442; R-GGA-189442; R-GGA-421493; R-HSA-189442; R-MMU-189442; R-OSA-189442; R-PFA-189442; R-RNO-189442; R-SCE-189442; R-SPO-189442; R-SSC-189442; R-TGU-189442; R-XTR-189442	0
ALAt4	Alanine-Sodium symporter	Transport, extracellular			0
ALATA_L	L-alanine transaminase	Glutamate metabolism	R00258	R-ATH-507749; R-ATH-507775; R-ATH-70523; R-ATH-70524; R-BTA-507749; R-BTA-507775; R-BTA-70523; R-BTA-70524; R-CEL-507749; R-CEL-507775; R-CEL-70523; R-CEL-70524; R-CFA-507749; R-CFA-507775; R-CFA-70523; R-CFA-70524; R-DDI-507749; R-DDI-507775; R-DDI-70523; R-DDI-70524; R-DME-507749; R-DME-507775; R-DME-70523; R-DME-70524; R-DRE-507749; R-DRE-507775; R-DRE-70523; R-DRE-70524; R-GGA-507749; R-GGA-507775; R-HSA-507749; R-HSA-507775; R-HSA-70523; R-HSA-70524; R-MMU-507749; R-MMU-507775; R-MMU-70523; R-MMU-70524; R-OSA-507749; R-OSA-507775; R-OSA-70523; R-OSA-70524; R-RNO-507749; R-RNO-507775; R-RNO-70523; R-RNO-70524; R-SCE-507749; R-SCE-507775; R-SCE-70523; R-SCE-70524; R-SPO-507749; R-SPO-507775; R-SPO-70523; R-SPO-70524; R-SSC-507749; R-SSC-507775; R-SSC-70523; R-SSC-70524; R-TGU-507749; R-TGU-507775; R-XTR-507749; R-XTR-507775; R-XTR-70523; R-XTR-70524	-1000
ALCD21_D	Alcohol dehydrogenase (D-1,2-propanediol)	Pyruvate metabolism	R03080		0
LCARS	Lacaldehyde reductase (S-propane-1,2-diol forming)	Pyruvate metabolism	R02258		-464.484977474224
ALCD22_D	Alcohol dehydrogenase (D-lactaldehyde)	Pyruvate metabolism			0
ALCD22_L	Alcohol dehydrogenase (L-lactaldehyde)	Pyruvate metabolism	R02531; R10715		464.484977474224
ALCD2x	Alcohol dehydrogenase (ethanol)	Glycolysis/gluconeogenesis	R00754	R-ATH-71707; R-BTA-71707; R-CEL-71707; R-CFA-71707; R-DDI-71707; R-DME-71707; R-DRE-71707; R-GGA-71707; R-HSA-71707; R-MMU-71707; R-OSA-71707; R-RNO-71707; R-SCE-71707; R-SPO-71707; R-SSC-71707; R-TGU-71707; R-XTR-71707	0
ALDD20x	Aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	Tryptophan metabolism	R02678		0
ALDD20xm	Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial	Tryptophan metabolism	R02678		-0
ALDD21	Aldehyde dehydrogenase (pristanal, NAD)	Fatty acid oxidation			-0
ALDD2xm	Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial	Glycolysis/gluconeogenesis	R00710	R-ATH-71691; R-ATH-71723; R-BTA-5696091; R-BTA-71691; R-BTA-71723; R-CEL-71691; R-CEL-71723; R-CFA-5696091; R-CFA-71691; R-CFA-71723; R-DME-71723; R-DRE-71723; R-GGA-71691; R-GGA-71723; R-HSA-5696091; R-HSA-71691; R-HSA-71723; R-MMU-5696091; R-MMU-71691; R-MMU-71723; R-OSA-71691; R-OSA-71723; R-RNO-5696091; R-RNO-71691; R-RNO-71723; R-SCE-71691; R-SCE-71723; R-SSC-5696091; R-SSC-71691; R-SSC-71723; R-TGU-71691; R-TGU-71723; R-XTR-5696091; R-XTR-71691; R-XTR-71723	999.62722
ALDD2y	Aldehyde dehydrogenase (acetaldehyde, NADP)	Glycolysis/gluconeogenesis	R00711		0
ALOX12	Arachidonate 12-lipoxygenase	Eicosanoid metabolism			0
ALOX15	Arachidonate 15-lipoxygenase	Eicosanoid metabolism			0
ALOX5	Arachidonate 5-lipoxygenase	Eicosanoid metabolism			0
ALOX52	Arachidonate 5-lipoxygenase	Eicosanoid metabolism			1000
ALR2	Aldose reductase (methylglyoxal)	Pyruvate metabolism	R02528		464.484977474224
ALR3	Aldose reductase (acetol)	Pyruvate metabolism			464.484977474224
AMPDA	Adenosine monophosphate deaminase	Nucleotide interconversion	R00181	R-ATH-76590; R-BTA-76590; R-CEL-76590; R-CFA-76590; R-DDI-76590; R-DME-76590; R-DRE-76590; R-GGA-76590; R-HSA-76590; R-MMU-76590; R-OSA-76590; R-PFA-76590; R-RNO-76590; R-SCE-76590; R-SPO-76590; R-SSC-76590; R-TGU-76590; R-XTR-76590	1000
AMY1e	Alpha-amylase, extracellular (strch1 -> strch2)	Starch and sucrose metabolism			111.080911111111
AMY2e	Alpha-amylase, extracellular (glygn2 -> glygn4)	Starch and sucrose metabolism			-0
ANDRSTRNGLCte	Glucuronidated compound transport	Transport, extracellular			-0
AOBUTDsm	L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous)	Glycine, serine, alanine, and threonine metabolism	R03758		0
APRTO2	N acetylputrescine oxygen oxireductase  deaminating 	Arginine and proline metabolism	R04025		-0
ARABR	Arabinose reductase	Pentose phosphate pathway			0
ARACHCPT1	Carnitine transferase	Fatty acid oxidation			0
ARACHCRNt	Transport into the mitochondria (carnitine)	Fatty acid oxidation			-1000
ARACHDt2	Fatty acid transport via diffusion	Transport, extracellular			1000
ARACHDtr	Intracellular transport	Transport, endoplasmic reticular			13.7
ARGLYSex	Arginine/Lysine exchanger (Arg in)	Transport, extracellular			0
ARGNm	Arginase (m)	Urea cycle	R00551	R-BTA-452036; R-BTA-70569; R-CFA-452036; R-CFA-70569; R-DME-452036; R-DME-70569; R-DRE-452036; R-DRE-70569; R-GGA-187632; R-GGA-452036; R-HSA-452036; R-HSA-70569; R-MMU-452036; R-MMU-70569; R-PFA-452036; R-PFA-70569; R-RNO-452036; R-RNO-70569; R-SCE-452036; R-SCE-70569; R-SPO-452036; R-SPO-70569; R-SSC-452036; R-SSC-70569; R-TGU-452036; R-XTR-452036; R-XTR-70569	0
ARGtm	Arginine mitochondrial transport via ornithine carrier	Transport, mitochondrial			0
ARTFR208	R group artificial flux	R group synthesis			788.015228617232
ASAH1	N-acylsphingosine amidohydrolase	Sphingolipid metabolism			331.906871124166
ASCBOX_1	Ascorbic Acid Oxidase	Vitamin C metabolism			0
ASCBt	L-ascorbate transport via facilitated diffusion	Transport, extracellular			1000
ASNNm	L-asparaginase (mitochondrial)	Alanine and aspartate metabolism	R00485	R-BTA-6797627; R-CEL-6797627; R-CFA-6797627; R-DDI-6797627; R-DME-6797627; R-DRE-6797627; R-GGA-6797627; R-HSA-6797627; R-MMU-6797627; R-RNO-6797627; R-SPO-6797627; R-TGU-6797627; R-XTR-6797627	-0
ASNt4	L-asparagine transport in via sodium symport	Transport, extracellular			0
ASPDt6	D-aspartate transport via Na, H symport and K antiport	Transport, extracellular			-0
ASPGLUm	Aspartate-glutamate mitochondrial shuttle	Transport, mitochondrial			0
ASPt6	L-aspartate transport via Na, H symport and K antiport	Transport, extracellular			0
ATPH1e	ATP diphosphohydrolase	Nucleotide interconversion	R00085		0
ATPH2e	ATP diphosphohydrolase	Nucleotide interconversion	R00122		0
ATPtm	ADP/ATP transporter, mitochondrial	Transport, mitochondrial	R00124#2	R-ATH-163215; R-BTA-163215; R-BTA-5672027; R-CEL-163215; R-CFA-163215; R-DDI-163215; R-DME-163215; R-DRE-163215; R-DRE-5672027; R-GGA-163215; R-HSA-163215; R-HSA-5672027; R-MMU-163215; R-MMU-5672027; R-OSA-163215; R-PFA-163215; R-RNO-163215; R-RNO-5672027; R-SCE-163215; R-SPO-163215; R-SSC-163215; R-SSC-5672027; R-TGU-163215; R-XTR-163215; R-XTR-5672027	1000
B3GALT3g	Beta-1,3-galactosyltransferase 3	Sphingolipid metabolism			0
B3GALT41g	Beta-1,3-galactosyltransferase 4	Sphingolipid metabolism			0
