	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
Gnpda2	598	573	505	944	731	625	785	695	542	899	701	660
Gnpnat1	15	22	17	10	11	14	10	15	21	14	12	11
Gnptab	1889	1019	1618	2621	2849	2963	3197	2135	2681	4961	3750	3761
Gnptg	3526	3215	3367	4995	4225	3171	3516	3289	2661	4468	3092	3305
Gnrh1	2	5	26	24	20	18	16	18	3	7	4	13
Gnrhr	0	0	0	0	0	0	0	0	0	0	0	0
Gns	1979	1206	1213	3323	2056	1732	1593	1405	1263	2442	2005	1758
Golga1	810	840	418	824	677	557	800	810	530	768	559	514
Golga2	1951	1783	1494	2780	2847	2365	1932	1720	1378	2359	2280	1603
Golga3	2030	2231	1690	2914	3104	2491	1957	2036	1588	2814	2299	2194
Golga4	3274	3604	4907	3727	3870	3185	3188	3621	3230	3273	2471	2837
Golga5	3739	2577	2466	3652	3225	3054	3822	2795	2413	3602	3051	2782
Golga7	1385	1474	1107	2229	1949	1493	1737	1761	1187	1817	1758	1372
Golga7b	0	0	0	0	0	0	0	0	0	0	0	0
Golgb1	1958	1812	1865	1796	1804	1515	1347	1472	1204	1368	805	997
Golim4	736	590	774	3126	2607	2228	844	701	694	2012	1661	1633
Golm1	4301	3309	2458	5202	4592	3673	3686	2979	3400	5224	4466	4342
Golph3	4592	3430	3208	5722	5329	5275	4439	3914	4078	5396	5394	5485
Golph3l	823	872	269	997	1014	559	722	816	303	748	884	636
Golt1a	0	0	0	0	0	0	0	0	0	0	0	0
Golt1b	983	687	903	1131	859	895	961	876	903	877	975	1027
Gon4l	1181	1031	1000	971	982	872	888	1070	835	898	764	649
Gon7	388	372	398	425	344	308	384	348	290	365	370	326
Gopc	1214	1359	997	2073	2038	1442	1335	1430	1029	1488	1770	1484
Gorab	515	448	557	656	465	509	676	484	638	699	379	610
Gorasp1	202	316	197	356	279	139	92	187	124	105	78	114
Gorasp2	5041	4153	3672	5185	4526	4007	4225	4052	3957	4589	4702	4423
Gosr1	2804	2269	1811	3538	3207	2490	2426	2359	1898	3214	2941	2648
Gosr2	5762	4423	3506	6252	5356	4771	5650	5740	4531	5312	5058	4900
Got1	1535	2052	2089	2322	2302	2374	1848	2467	2155	1985	2159	2443
Got1l1	0	0	0	6	0	0	0	0	0	0	0	0
Got2	1896	1799	1554	2286	1969	1704	1793	1666	1422	2032	1889	1916
Got2-ps1	5	1	0	1	1	2	2	0	0	3	0	1
Gp1ba	0	6	2	1	15	5	4	11	4	5	8	2
Gp1bb	0	0	0	0	0	0	0	0	0	0	0	0
Gp2	0	0	0	0	0	0	0	0	0	0	0	0
Gp5	16	3	12	3	8	2	8	2	4	11	6	13
Gp6	0	0	0	0	0	0	0	0	0	0	0	0
Gp9	0	0	3	4	0	7	0	2	5	9	2	0
Gpa33	0	0	0	10	0	0	0	0	4	1	0	0
Gpaa1	2768	2864	3120	11011	8820	6844	2695	3084	2857	6829	5575	5957
Gpalpp1	805	764	612	1095	947	841	879	848	702	1027	853	709
Gpam	455	440	387	636	600	601	437	380	289	656	504	407
Gpank1	705	572	673	549	492	431	742	464	593	673	532	658
Gpat2	11	19	63	15	33	12	0	8	22	3	10	1
Gpat3	73	7	50	92	32	19	80	23	62	64	68	2
Gpat4	3454	2979	2675	3670	3176	2695	3715	3538	3045	3346	3032	3183
Gpatch1	1007	957	694	1161	950	737	997	1010	702	899	889	639
Gpatch11	799	858	646	1320	1127	739	862	1055	632	1075	901	751
Gpatch2	734	842	597	886	854	685	619	665	578	731	692	530
Gpatch2l	1577	1386	1186	1539	1358	1231	1275	1639	945	1471	1413	1297
Gpatch3	1231	886	1214	821	655	641	1003	974	917	659	677	681
Gpatch4	1134	1484	1277	491	506	392	897	1208	746	510	574	676
Gpatch8	3044	2618	2618	3415	3032	2898	3028	2420	2004	3491	2823	2535
Gpbar1	68	42	80	28	48	26	40	26	49	31	47	14
Gpbp1	6516	5992	5540	5879	5843	4924	6146	6073	5611	5564	5529	5584
Gpbp1l1	2052	1440	1512	2671	2393	1892	1761	1672	1298	1854	1795	1892
Gpc1	740	541	472	790	780	596	965	844	650	983	1001	817
Gpc2	12	5	20	14	24	5	8	46	14	20	5	10
Gpc3	0	0	0	97	7	9	0	9	11	17	22	34
Gpc4	0	0	0	0	4	0	0	0	0	1	6	0
Gpc5	5	1	0	1	0	1	2	1	2	2	0	0
Gpc6	0	0	0	0	0	0	0	0	0	2	0	15
Gpcpd1	8597	4464	5508	5388	3955	3694	6399	4478	5151	5273	3290	3739
Gpd1	6	6	17	10	2	6	12	17	1	1	14	5
Gpd1l	5233	2757	2411	2355	2284	1972	4790	2706	3136	2631	3223	2756
Gpd2	1058	1692	1479	1830	1788	1573	1190	1399	793	1479	1452	1362
Gper1	0	0	0	0	9	0	0	0	1	4	0	0
Gpha2	0	1	0	0	0	0	0	0	0	0	0	0
Gphb5	0	0	0	0	0	2	0	4	0	0	0	0
Gphn	354	298	464	360	422	342	413	359	307	546	384	365
Gpi1	5655	5610	5549	6480	5769	4394	5812	5905	4609	4989	6039	5027
Gpihbp1	14	0	0	86	22	0	10	1	0	37	26	1
Gpkow	2841	2374	2341	2842	2634	2187	2966	2693	2351	2747	2465	2147
Gpld1	0	8	5	9	8	6	3	0	0	3	0	1
Gpm6a	0	0	5	0	0	1	0	4	0	4	0	9
Gpm6b	23	28	45	57	62	52	33	26	63	83	118	63
Gpn1	2001	2082	1941	2150	1956	1646	1910	2059	1629	1932	1631	1498
Gpn2	862	562	753	641	565	483	818	657	535	585	554	598
Gpn3	2052	1986	2305	2196	1765	1710	2305	1690	1792	2061	1738	1686
Gpnmb	2055	59	43	2678	95	17	213	381	43	830	443	3
Gpr1	0	0	4	0	0	0	0	0	0	0	0	0
Gpr101	0	0	0	0	0	0	0	0	0	0	0	0
Gpr107	957	1212	1172	1862	1571	1111	1287	1748	927	1239	1115	1207
Gpr108	3024	2821	2556	4178	3200	2441	3212	2739	2268	3351	2880	2634
Gpr119	0	0	0	0	0	0	0	0	0	0	0	0
Gpr12	0	0	0	0	0	0	0	0	0	0	0	0
Gpr132	4168	3098	4478	2108	1879	2209	3456	3254	4060	2150	2741	3480
Gpr135	14	3	12	45	28	35	10	3	5	32	29	21
Gpr137	281	244	200	367	245	175	281	232	167	279	202	219
Gpr137b	149	7	0	134	11	11	47	50	2	99	80	15
Gpr137b-ps	245	132	158	233	102	84	250	373	175	310	157	156
Gpr137c	82	33	42	30	51	34	42	46	36	24	32	6
Gpr139	0	0	0	0	0	0	0	0	0	0	0	0
Gpr141	139	0	0	197	38	0	38	12	0	120	17	4
Gpr141b	0	0	0	0	0	0	0	0	0	7	0	0
Gpr142	0	0	0	0	0	0	0	0	0	0	0	0
Gpr143	0	0	0	0	0	0	0	0	0	0	0	0
Gpr146	2081	1617	988	394	398	317	1641	2132	1136	830	829	763
Gpr149	0	0	0	0	0	0	0	0	0	0	0	0
Gpr15	52	14	68	94	107	68	265	136	103	280	350	132
Gpr150	0	0	0	5	5	1	0	0	0	1	0	4
Gpr151	0	2	7	0	0	2	0	0	0	0	0	0
Gpr152	0	3	0	11	3	3	0	0	2	2	12	0
Gpr153	5	0	10	38	7	21	10	29	16	22	19	12
Gpr155	284	240	314	303	165	203	213	268	284	401	357	302
Gpr156	0	0	0	0	0	0	0	0	0	0	0	0
Gpr157	36	11	16	41	11	8	34	14	15	20	7	5
Gpr158	0	0	0	0	0	0	0	0	0	0	0	0
Gpr160	102	32	82	1681	1262	1146	337	149	208	1228	961	1260
Gpr161	20	8	9	13	6	11	7	10	7	4	1	2
Gpr162	0	2	0	2	8	3	44	114	5	12	9	1
Gpr165	0	0	0	0	0	0	0	0	0	0	0	0
Gpr17	0	0	0	0	0	0	0	0	0	0	0	0
Gpr171	5999	7241	5314	14950	12038	10492	7175	6848	6235	7700	8461	8978
Gpr173	0	0	0	0	1	0	0	0	0	0	1	0
Gpr174	929	1084	1041	1737	1623	1429	1544	1992	1606	1680	1654	1774
Gpr176	0	1	0	3	0	1	0	0	0	1	0	0
Gpr179	38	0	0	1	5	15	0	46	0	3	0	0
Gpr18	5762	7073	4161	1313	1050	1211	6295	5447	4911	2190	2184	2003
Gpr180	1488	1269	812	1930	1768	1275	1412	1241	922	1692	1654	1365
Gpr182	1	3	3	6	0	1	1	2	0	26	17	6
Gpr183	6027	5290	5393	12269	9299	9723	9158	7774	7282	11765	13967	14378
Gpr19	175	153	85	154	145	70	175	90	100	104	163	75
Gpr20	0	0	0	0	0	0	0	0	0	0	0	0
Gpr21	0	9	2	28	3	14	2	16	10	8	23	12
Gpr22	0	4	0	17	8	3	0	7	3	2	2	0
Gpr25	1	0	0	10	13	4	0	0	0	5	11	5
Gpr26	0	0	0	0	0	0	0	0	0	0	0	0
Gpr27	5	0	1	6	0	0	2	0	0	2	0	0
Gpr3	11	21	93	8	5	29	52	24	73	29	7	9
Gpr31a	0	0	0	0	0	0	0	0	0	0	0	0
Gpr31b	0	0	0	0	0	0	0	0	0	0	0	0
Gpr31c	0	0	0	4	0	0	0	0	0	0	0	0
Gpr33	0	0	0	0	0	0	0	0	0	0	0	0
Gpr34	390	280	131	2125	1615	1129	199	69	36	532	369	390
Gpr35	289	21	0	299	10	0	69	25	0	140	28	0
Gpr37	0	0	0	0	0	0	0	0	0	0	0	0
Gpr37l1	0	0	0	0	0	1	0	0	0	0	0	0
Gpr39	6	0	0	0	1	0	0	0	0	3	0	0
Gpr4	0	0	8	10	5	10	12	12	0	7	17	0
Gpr45	0	7	0	37	19	26	1	8	2	4	2	8
Gpr50	0	0	0	0	0	0	0	0	0	0	0	0
Gpr52	0	0	0	8	14	11	0	2	3	6	1	10
Gpr55	208	335	90	1302	1044	884	164	42	96	857	910	866
Gpr6	0	0	0	0	0	0	0	0	0	0	0	0
Gpr61	0	1	0	0	0	0	0	0	0	0	9	0
Gpr62	0	0	14	3	7	9	0	0	1	12	11	5
Gpr63	0	0	0	0	0	0	0	0	0	0	0	0
Gpr65	1003	1374	822	1878	1431	948	1218	1211	817	1041	1232	1092
Gpr68	2219	3062	1680	8775	6878	4778	1570	979	1444	4274	4811	4525
Gpr75	0	1	0	0	0	0	0	0	0	0	0	0
Gpr82	0	1	13	0	0	4	0	0	0	0	0	0
Gpr83	695	478	246	6	7	3	178	176	44	4	0	0
Gpr84	0	0	0	3	0	0	0	2	0	1	0	0
Gpr85	0	0	0	0	0	1	0	0	0	0	0	0
Gpr87	22	0	0	19	20	7	0	0	0	6	9	5
Gpr88	4	0	0	0	0	2	0	0	0	0	0	0
Gpr89	669	764	488	783	824	656	458	667	496	659	557	514
Gprasp1	2770	3680	1393	3177	3261	2410	2117	3748	1642	2523	1907	1827
Gprasp2	91	124	31	73	59	49	65	470	22	81	68	49
Gprc5a	84	44	59	50	39	44	119	36	93	68	52	81
Gprc5b	18	11	10	0	0	2	3	19	4	4	1	0
Gprc5c	68	0	0	19	9	0	1	6	2	27	9	10
Gprc5d	0	0	0	0	2	0	0	0	0	0	0	0
Gprc6a	0	0	0	0	0	0	0	0	0	0	0	0
Gprin1	0	0	0	0	0	0	0	0	0	0	0	0
Gprin2	0	0	0	0	0	0	0	0	0	0	0	0
Gprin3	792	702	720	2440	2381	2618	616	272	694	1915	1115	1284
Gps1	2351	2803	2604	3361	2696	2401	2696	2802	2131	2964	2521	2335
Gps2	6350	6159	6892	6305	5863	4444	6413	5807	4834	6002	4869	5152
Gpsm1	780	525	701	763	660	549	1002	1030	474	961	700	726
Gpsm2	1032	829	537	284	262	234	857	786	614	333	451	506
Gpsm3	1390	1155	1090	1516	1181	875	1252	1541	888	929	1176	1122
Gpt	216	219	173	242	211	151	157	202	149	150	137	119
Gpt2	45	37	121	214	262	153	131	141	79	137	164	161
Gpx1	10297	8699	7283	7925	3684	3267	8205	8767	7174	5363	5044	3878
Gpx2	90	0	0	4	8	0	13	1	0	10	15	11
Gpx2-ps1	1	2	28	7	3	5	2	9	7	4	6	5
Gpx3	37	15	20	206	31	87	33	30	61	54	29	107
Gpx4	2472	2728	2176	3304	2139	1878	2421	2679	1670	2646	2567	2681
Gpx4-ps1	0	0	0	2	10	12	3	0	1	1	6	2
Gpx4-ps2	84	142	102	177	89	78	108	121	76	122	130	112
Gpx5	0	0	0	0	0	0	0	2	0	0	0	0
Gpx6	0	0	0	0	0	0	0	0	0	0	0	0
Gpx7	27	8	29	25	51	27	5	19	25	31	21	17
Gpx8	7	0	0	29	17	28	10	12	4	40	19	21
Gramd1a	35503	43259	29878	35769	33448	25609	23415	33528	22127	26356	18047	17668
Gramd1b	1015	1107	1355	1495	1444	1289	1188	1058	1179	1448	1470	1457
Gramd1c	109	85	83	269	191	366	115	169	185	264	240	208
Gramd2	0	0	0	6	0	0	0	0	0	8	14	0
Gramd3	51038	33695	60790	21032	17681	27090	54356	31613	58130	36637	31170	39817
Gramd4	13860	9223	9214	3112	3113	3276	12245	8684	10318	7008	5546	5020
Grap	7277	8075	5627	9311	7277	5309	7843	7438	5263	7969	8300	7099
Grap2	5359	5396	7518	4902	4629	4158	3898	3665	3443	3613	3012	3374
Grasp	222	231	537	282	258	396	332	295	380	316	300	447
Grb10	24	6	0	22	0	11	0	0	1	1	0	0
Grb14	13	0	0	26	0	14	6	2	1	0	13	0
Grb2	4185	4326	3196	5706	5318	4048	4310	4837	3564	4740	5086	4090
Grb7	112	42	90	413	305	522	152	40	143	336	161	366
Grcc10	780	874	862	799	520	451	677	636	637	605	646	562
Greb1	0	0	2	0	0	0	0	2	0	0	0	0
Greb1l	8	5	13	6	9	22	5	16	6	15	18	2
Grem1	0	0	9	0	0	0	0	0	0	0	0	0
Grem2	0	0	0	0	0	0	0	0	0	0	0	2
Grhl1	87	44	145	110	104	90	14	38	81	77	78	136
Grhl2	18	0	0	48	47	14	8	16	6	32	30	23
Grhl3	3	0	15	0	0	0	6	0	7	4	22	0
Grhpr	531	589	484	664	524	456	532	763	381	430	465	520
Gria1	0	0	0	0	0	4	0	0	0	0	0	0
Gria2	0	0	0	0	1	0	18	3	0	0	0	0
Gria3	60	163	96	11	3	0	86	27	39	4	5	0
Gria4	0	0	0	0	7	4	0	0	0	3	0	0
Grid1	0	0	0	0	0	0	0	0	0	0	0	0
Grid2	0	0	0	0	0	0	0	0	0	0	0	0
Grid2ip	0	0	0	0	1	0	0	0	0	0	0	0
Grifin	54	35	22	8	6	2	15	2	2	7	3	6
Grik1	0	0	0	0	0	0	0	2	0	0	0	0
Grik2	0	0	0	0	0	0	0	0	0	0	0	0
Grik3	0	1	0	0	0	0	0	0	0	0	0	0
Grik4	0	0	1	0	0	0	0	0	0	1	0	1
Grik5	23	30	108	21	16	25	27	71	41	42	7	14
Grin1	0	0	0	0	1	0	0	1	0	1	0	1
Grin1os	0	0	0	0	0	0	0	0	0	1	0	0
Grin2a	0	0	0	0	0	0	0	0	0	0	0	0
Grin2b	0	0	0	0	0	0	0	0	0	2	0	0
Grin2c	5	0	1	3	3	0	2	0	9	3	0	8
Grin2d	50	22	62	76	68	74	45	16	10	45	54	75
Grin3a	4	0	4	4	1	0	19	1	0	3	1	0
Grin3b	6	2	17	5	3	10	5	12	14	13	10	8
Grina	2883	1517	1654	10433	7226	4976	2343	1753	1574	5414	3431	3494
Grip1	0	0	0	0	0	0	2	0	0	0	0	1
Grip1os1	0	0	0	0	0	0	0	0	0	0	0	0
Grip1os2	0	0	0	0	0	0	0	0	0	0	0	0
Grip1os3	0	0	0	0	0	0	0	0	0	0	0	0
Grip2	18	2	45	14	21	9	0	0	9	14	17	6
Gripap1	5067	5338	5269	4955	4563	3620	5051	5101	3925	4520	3022	2795
Grk1	0	0	0	0	0	0	0	0	0	5	0	0
Grk2	22037	20940	17543	17550	13949	10619	22691	21506	17689	15853	18309	16765
Grk3	95	5	0	90	40	9	4	19	0	38	2	0
Grk4	197	199	269	203	203	152	186	172	150	160	136	235
Grk5	80	77	81	124	64	49	105	176	79	54	38	27
Grk6	23482	20629	19006	10959	9975	8661	23353	20070	19703	12613	10971	11113
Grm1	6	0	0	13	0	0	0	6	0	5	0	0
Grm2	0	0	0	2	0	1	1	0	0	0	0	0
Grm3	0	0	0	0	0	0	0	0	0	0	0	0
Grm4	0	0	0	0	0	0	0	0	0	0	0	0
Grm5	0	0	0	0	0	0	0	2	1	2	0	0
Grm6	218	118	89	1	14	0	114	46	32	2	0	0
Grm7	0	0	0	0	0	0	0	0	0	0	0	0
Grm8	0	0	0	0	0	0	0	0	0	0	0	0
Grn	1970	484	575	3541	1507	989	949	423	372	1637	1030	851
Grp	4	0	0	0	0	0	0	0	0	0	1	0
Grpel1	2908	2575	2452	2799	2020	2276	2982	2931	2618	2671	2762	2759
Grpel2	716	577	475	880	797	628	689	767	391	848	700	653
Grpr	0	0	0	0	0	0	0	0	0	0	0	0
Grrp1	9	2	4	6	9	0	4	5	9	5	2	0
Grsf1	1721	1322	1051	1352	1148	867	1470	1513	1092	1215	1325	1022
Grtp1	12	8	11	18	17	21	42	37	16	19	19	7
Grwd1	2018	2350	2036	1175	1032	1052	1822	2008	1959	1433	1374	1327
Grxcr1	0	0	0	0	0	0	0	0	0	0	0	0
Grxcr2	7	0	0	0	0	0	0	0	0	0	0	0
Gsap	866	500	620	1982	1391	991	1089	765	808	1918	1147	1084
Gsc	0	0	0	0	0	0	0	0	0	0	0	0
Gsc2	0	0	0	0	0	0	0	0	0	0	0	0
Gsdma	0	0	0	0	0	0	0	0	0	0	0	0
Gsdma2	0	0	0	0	0	0	0	0	0	0	0	0
Gsdma3	0	0	0	0	0	0	0	0	0	0	0	0
Gsdmc	0	0	0	0	0	0	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0	0	0	0	2	0	0
Gsdmc3	0	0	0	0	0	0	0	0	0	0	0	0
Gsdmc4	6	2	5	4	3	5	6	1	2	4	1	4
Gsdmcl-ps	2	1	7	1	1	3	5	2	0	1	0	0
Gsdmcl1	0	0	0	0	0	0	0	0	0	0	0	0
Gsdmcl2	0	0	0	0	0	0	2	0	0	0	0	0
Gsdmd	3647	3955	3622	3371	2771	2350	3442	3665	3080	2510	2497	2350
Gsdme	158	63	40	185	45	56	37	97	32	149	72	75
Gse1	793	816	664	1143	1002	1022	936	1099	621	1001	887	747
Gsg1	0	0	0	1	1	0	2	0	0	0	2	0
Gsg1l	0	0	0	0	1	4	0	0	0	0	2	0
Gsg1l2	0	0	0	0	0	0	0	0	0	0	0	0
Gsk3a	2150	2022	1433	2196	2016	1494	2044	2039	1569	1463	2093	2078
Gsk3b	2761	2631	3423	3184	2842	2691	2634	3180	2590	3203	3036	3300
Gskip	650	774	411	1392	1185	828	989	941	565	1027	1198	791
Gsn	3284	3473	1729	4704	1648	1665	2402	8392	1358	2118	1673	2363
Gspt1	2756	3245	2309	2984	3022	2470	3094	3507	2248	2592	3028	2259
Gspt2	0	0	0	26	7	1	0	7	7	6	0	11
Gsr	3784	1887	1654	5557	3244	2418	2920	2331	1733	4117	3674	2979
Gss	479	408	391	524	496	445	544	497	289	534	336	320
Gssos1	0	0	0	0	0	0	0	0	0	0	0	0
Gssos2	0	0	0	0	0	2	0	0	0	2	0	0
Gsta1	0	0	0	0	0	0	0	0	0	0	0	0
Gsta2	0	0	0	0	0	0	0	0	0	0	0	0
Gsta3	75	7	4	16	8	8	15	5	8	15	10	7
Gsta4	62	26	7	24	18	7	71	95	27	111	25	27
Gstcd	300	240	261	175	229	138	254	237	263	215	175	192
Gstk1	205	223	211	147	71	86	151	209	143	84	116	61
Gstm1	992	103	172	682	104	38	220	322	112	517	239	63
Gstm2	120	0	7	38	32	4	29	27	10	75	34	7
Gstm2-ps1	0	0	0	2	0	0	0	0	0	1	0	0
Gstm3	0	0	0	0	0	0	0	0	0	0	0	0
Gstm4	211	140	113	150	55	55	227	188	88	100	68	106
Gstm5	8	0	0	106	56	46	7	12	0	19	9	22
Gstm6	3	0	0	0	0	0	0	0	0	0	0	0
Gstm7	0	0	0	5	0	0	0	20	0	0	5	7
Gsto1	1103	451	592	1035	736	527	921	810	869	1199	1002	1128
Gsto2	14	17	11	5	5	8	7	8	2	5	1	1
Gstp-ps	29	18	39	24	21	24	22	21	32	22	25	40
Gstp1	2423	2361	2219	2961	1991	1792	2354	2036	1708	2309	2410	2348
Gstp2	5	3	2	0	4	3	2	8	0	2	5	3
Gstp3	533	448	560	664	571	405	547	360	421	487	434	447
Gstt1	0	4	1	49	55	10	0	3	0	9	1	26
Gstt2	975	842	943	504	350	303	783	853	496	434	316	334
Gstt3	16	6	8	29	42	12	12	3	6	26	24	17
Gstt4	5	0	1	4	1	0	2	7	0	1	0	0
Gstz1	384	277	180	339	297	255	271	142	168	313	314	231
Gsx1	0	0	8	0	0	0	0	0	0	0	0	0
Gsx2	0	0	0	0	0	0	0	0	0	0	0	0
Gt(ROSA)26Sor	372	329	314	342	324	349	494	443	368	427	417	498
Gtdc1	302	138	257	171	171	127	262	294	188	201	99	167
Gtf2a1	1139	702	768	1496	1700	1474	894	898	769	1897	1253	1162
Gtf2a1l	0	8	4	0	0	0	0	3	0	0	0	3
Gtf2a2	1312	1260	1108	960	812	692	1446	1378	1046	1033	727	787
Gtf2b	3571	2679	2993	3287	2633	2740	3501	2773	3093	3157	3176	3539
Gtf2e1	813	1039	411	901	916	563	915	717	561	631	872	721
Gtf2e2	956	1091	470	966	870	549	902	894	570	928	886	602
Gtf2f1	3161	3366	4639	3529	3371	2448	3518	3315	3124	3010	2747	2738
Gtf2f2	1126	1097	947	1154	890	741	990	1161	911	997	966	970
Gtf2h1	2181	2143	1785	2094	2182	1603	2376	2444	1621	1949	2289	1886
Gtf2h2	1494	1337	965	1365	1238	840	1197	1538	853	1128	1029	1009
Gtf2h3	1361	1468	1043	1291	1128	826	1607	1654	1118	1239	1139	967
Gtf2h4	605	667	509	469	421	370	991	955	399	375	576	482
Gtf2h5	1080	1208	1205	1464	1105	1043	1083	1097	929	1177	1188	1332
Gtf2i	27044	15599	17206	9501	9169	8563	23721	13253	14411	13419	11155	11008
Gtf2ird1	394	622	415	410	419	261	598	1806	240	157	279	274
Gtf2ird2	1219	1075	1038	884	792	703	981	956	793	740	828	899
Gtf3a	774	844	552	918	660	541	744	734	625	724	810	673
Gtf3c1	4159	3747	3269	5603	4938	4705	3095	3236	2909	4430	3859	3668
Gtf3c2	1455	1283	1653	1430	1386	1315	1247	1393	1036	1243	1038	1219
Gtf3c3	833	728	691	460	591	561	952	775	560	692	727	566
Gtf3c4	624	602	398	694	819	536	533	696	393	696	482	563
Gtf3c5	1022	903	1062	1373	1153	1061	1355	1025	805	1188	1024	1100
Gtf3c6	1414	1312	1200	1552	1395	1173	1463	1835	1204	1474	1456	1566
Gtpbp1	6999	7230	5696	7824	6928	5606	5976	5686	5177	5654	6485	5928
Gtpbp10	321	179	202	302	183	263	268	215	240	349	244	363
Gtpbp2	2757	3858	2774	3355	3694	2445	2762	2820	2085	3271	2377	2341
Gtpbp3	476	583	381	595	568	340	543	584	275	402	390	386
Gtpbp4	3570	3694	3092	2965	2719	2372	3312	3384	3041	2608	2882	3131
Gtpbp4-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4-ps2	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4-ps3	0	0	0	0	0	0	0	4	0	0	0	0
Gtpbp4-ps4	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4-ps5	1	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4-ps6	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4-ps7	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp6	711	550	553	525	455	345	503	629	457	430	326	460
Gtpbp8	363	360	339	396	331	333	361	402	248	480	337	274
Gtse1	119	292	87	283	298	186	166	266	112	320	253	226
Gtsf1	0	0	0	5	3	0	0	0	0	0	0	1
Gtsf1l	0	0	2	0	0	0	0	0	0	0	0	0
Gtsf2	0	0	0	0	0	0	0	0	0	0	0	0
Guca1a	0	0	0	0	0	0	0	0	0	0	0	0
Guca1b	83	94	115	47	37	14	65	66	74	40	28	32
Guca2a	0	0	8	2	0	1	0	0	0	0	1	0
Guca2b	0	0	0	0	0	0	0	0	0	0	0	0
Gucd1	1754	1807	573	1261	1156	766	1398	1352	753	1202	1139	919
Gucy1a1	41	31	14	18	0	0	9	34	15	26	0	5
Gucy1a2	0	0	0	0	0	0	0	0	0	0	0	0
Gucy1b1	26	10	1	8	0	1	15	14	5	7	0	0
Gucy1b2	2	2	0	3	1	0	0	0	0	3	0	0
Gucy2c	3	0	4	19	0	3	2	1	8	4	0	2
Gucy2d	0	0	0	0	0	0	0	2	0	0	0	0
Gucy2e	5	0	0	0	1	3	17	24	0	0	0	0
Gucy2f	0	0	0	0	0	0	0	0	0	0	0	0
Gucy2g	0	0	0	0	0	0	0	0	0	0	0	0
Guf1	1071	1010	1125	1380	1093	898	1250	1416	995	1055	647	670
Guk1	1766	1638	1583	2239	1555	1422	1753	1330	1354	1848	1765	1895
Gulo	0	0	2	0	0	0	9	10	0	0	0	0
Gulp1	0	0	0	7	0	0	1	6	0	0	5	12
Gusb	2468	2141	1380	2452	1746	1127	1983	1761	1455	1793	1615	1560
Gvin1	88	102	164	221	266	212	112	92	132	269	175	191
Gxylt1	553	450	498	854	792	926	756	596	803	1033	802	842
Gxylt2	0	0	0	19	1	0	1	0	0	0	1	0
Gyg	771	765	463	804	516	319	769	909	589	645	871	574
Gykl1	0	0	0	0	0	0	0	0	0	0	0	0
Gypa	3	0	0	8	0	0	1	1	0	14	9	0
Gypc	1231	1017	1126	622	455	562	876	1136	955	665	651	946
Gys1	585	479	413	443	282	309	520	471	220	294	242	378
Gys2	0	0	0	0	2	0	4	22	0	0	0	0
Gzf1	436	373	370	479	463	349	535	584	373	545	460	352
Gzma	214	43	210	5398	4133	3528	1819	356	505	4186	2324	2606
Gzmb	390	305	511	26637	29205	20122	2435	621	999	12086	10259	9687
Gzmc	12	0	0	62	39	29	0	0	0	21	30	19
Gzmd	0	1	0	0	0	0	0	0	0	0	0	0
Gzme	0	0	0	0	0	0	0	0	0	0	0	0
Gzmf	0	0	0	1	1	6	0	0	0	0	1	0
Gzmg	0	0	0	0	0	0	0	0	0	0	0	0
Gzmk	148	6	332	4821	3331	3055	1636	549	1171	3592	4735	4235
Gzmm	116	20	288	243	204	176	668	548	687	489	541	423
Gzmn	0	0	0	0	0	0	0	0	0	0	0	0
H13	7261	7440	6264	8731	6992	6044	7398	6873	6110	6946	7656	6776
H19	0	0	0	0	0	0	0	0	0	0	0	0
H1f0	440	144	266	2493	1609	1382	1163	861	367	2446	1716	1966
H1fnt	0	0	0	0	0	0	0	0	0	0	0	0
H1foo	0	0	0	0	0	0	0	0	0	0	0	1
H1fx	0	0	0	5	0	4	16	5	1	3	0	0
H2-Aa	1473	192	1	2148	320	6	388	544	31	971	599	9
H2-Ab1	2720	347	35	3824	466	22	962	1000	43	2224	1271	47
H2-Bl	5	5	5	10	8	7	6	3	4	4	5	6
H2-D1	229959	192846	205258	357828	284742	226515	218997	153301	175072	257240	268370	270359
H2-DMa	3152	3067	2142	928	317	257	1583	1350	1191	623	518	424
H2-DMb1	306	37	5	358	35	0	75	81	6	189	82	3
H2-DMb2	150	97	18	278	37	0	105	109	11	128	79	0
H2-Ea-ps	0	0	0	0	4	0	0	0	0	0	0	0
H2-Eb1	1129	156	12	1578	244	3	446	302	7	732	381	26
H2-Eb2	3	0	0	13	0	0	13	0	1	6	1	0
H2-K1	139329	134281	158645	188851	166815	124989	133524	95593	120390	135653	149431	140005
H2-K2	1080	1386	1234	1072	871	633	1113	1191	703	1114	775	609
H2-Ke6	81	64	58	80	74	32	73	64	62	87	42	44
