rxns,fluxvector
DPGase,0
DPGM,0
DRPA,1000
DTDPtn,854.216018904712
DTTPtn,-844.619990663972
DUDPtn,-960.822754155175
DURAD,-0
DURAD2,-0
DURIK1,0
DURIK1m,0
DURIt,-1000
DURItn,-960.822754155175
DUTPDPm,0
ECOAH1x,0
EICOSTETCPT1,0
EICOSTETCRNt,1000
ELAIDCPT1,0.03998664
ELAIDCRNt,1000
ELAIDt,0
ESTRADIOLGLCt,-0
ESTRADIOLtr,1000
ESTRIOLGLCte,-0
ESTRIOLtr,-0
ESTRONEGLCt,-0
ESTRONESt,-1000
ESTRONESt2,0
ESTRONEtr,-1000
ETHAK,0
ETOHMO,0
EX_34dhphe_e,-0
EX_3aib__D_e,178.483688206787
EX_5mthf_e,-187.032053199629
EX_5thf_e,-0
EX_adrn_e,1.7
EX_arach_e,1.10000000000012
EX_ascb__L_e,5.6843418860808e-14
EX_atp_e,-1000
EX_bhb_e,83.4286078157705
EX_bilglcur_e,1000
EX_chsterol_e,-409.39578298684
EX_chtn_e,-59.6425234749675
EX_clpnd_e,1.9
EX_cmp_e,-1000
EX_crvnc_e,4.6
EX_dcsptn1_e,0.1
EX_dmhptcrn_e,-0
EX_dopa_e,-1000
EX_eicostet_e,0.1
EX_elaid_e,0.1
EX_gsn_e,966.269861775444
EX_hco3_e,572.329737814992
EX_hdca_e,294.9
EX_hdcea_e,68.6
EX_hexc_e,0.5
EX_hpdca_e,5.6
EX_idp_e,-1000
EX_imp_e,1000
EX_inost_e,-517.090474251994
EX_lac__D_e,-789.943012426327
EX_leuktrB4_e,-0
EX_leuktrC4_e,761.929116266472
EX_leuktrE4_e,-761.929116266472
EX_lgnc_e,1.19999999999997
EX_lneldc_e,0.1
EX_lnlc_e,71
EX_lnlnca_e,0.5
EX_lnlncg_e,4.8
EX_nrvnc_e,0.3
EX_o2s_e,-1000
EX_ocdca_e,62.4207049140281
EX_ocdcea_e,-0.0192
EX_pe_hs_e,-40.5905177452256
EX_pglyc_hs_e,-10.6816380356021
EX_prostge1_e,2.5
EX_prostge2_e,-0
EX_prostgf2_e,1000
EX_ps_hs_e,-655.951768714821
EX_ptdca_e,3.00000000000012
EX_Rtotal_e,512.817672432785
EX_spc_hs_e,-0
EX_strdnc_e,0.1
EX_tethex3_e,0.1
EX_tetpent3_e,0.1
EX_tetpent6_e,0.1
EX_tettet6_e,0.1
EX_thf_e,-0
EX_ttdca_e,28.3
EX_urate_e,1000
EX_utp_e,-1000
EX_vacc_e,0.1
EX_xolest_hs_e,394.441343132029
F1PGT,-0
FACOAL1831,0
FACOAL191,-0
FACOAL206,-0
FADDP,0
FAEL183,0
FAEL184,0
FAEL204,0
FAEL205,0
FAH1,0
FAH2,0
FAH3_1,0
FAOXC11,0
FAOXC140,0
FAOXC150m,0
FAOXC160,0
FAOXC16080m,0
FAOXC161802m,20.8571519539426
FAOXC16180m,-0
FAOXC170m,0
FAOXC180,0
FAOXC1811601m,-0
FAOXC1811602m_1,-0
FAOXC1811603m,-0
FAOXC182806m,-0
FAOXC18280m,0
FAOXC183803m,0
FAOXC183806m,0
FAOXC18480m,0
FAOXC200180m,0
FAOXC2031836m,0
FAOXC204,-0
FAOXC204184m,0
FAOXC2051843m,0
FAOXC2242046m,0
FAOXC2251836m,0
FAOXC2252053m,0
FAOXC226,0
FAOXC226205m,0
FAOXC80,20.8571519539426
FAS100COA,0
FAS120COA,0
FAS140COA,0
FAS160COA,0
FAS180COA,0
FAS80COA_L,0
FATP1t,-1000
FATP2t,-1000
FATP3t,-1000
FATP4t,1.2158578836353e-13
FATP5t,-1000
FATP6t,0
FATP7t,-0
FATP8t,-1000
FATP9t,0
FBA4,-0
FBA5,-0
FBP26,0
FCLTm,0
FDH,0
FE3R2e_1,0
FK,-0
FKYNH,0
FOLR2,0
FRUt1r,-0
FTHFDH,341.296235392505
FTHFLmi,-0
FUCASE2e,0
FUCASE2ly,-0
FUCASEe,0
FUCASEly,0
FUMSO3tm,-1000
FUMSO4tm,8.462820635921e-14
FUMtm,-821.143531793213
FUMTSULtm,-1000
FUT910g,-0
FUT911g,0
FUT91g,0
FUT92g,0
FUT93g,0
FUT94g,-0
FUT95g,0
FUT96g,0
FUT97g,0
FUT98g,0
FUT99g,-0
G14T18g,0
G14T19g,0
G14T20g,0
G14T21g,0
G14T2g,0
G14T3g,0
G14T4g,0
G14T5g,0
G6PDH1er,1.70529408
G6PDH2er,965.190971866801
G6PPer,0
G6Pter,168.253220957621
GABAVESSEC_1,0
GAL3ST11,-0
GAL3ST12,0
GALNACT1g,0
GALNACT2g,0
GALNACT3g,0
GALNACT4g,0
GALNACT5g,0
GALNTg,0
GALOR,0
GALt1r,1000
GAO1,-0
GAO1g,0
GAO2,-0
GAO2g,0
GASNASE2ly,0
GASNASE3ly,0
GASNASEly,0
GBA,-0
GBAl,0
GCALDDm,-0
GCHOLAt,0
GCHOLAt2,0
GCNTg,0
GFUCS,0
GGH_10FTHF5GLUe,0
GGH_10FTHF5GLUl,-0
GGH_10FTHF6GLUe,0
GGH_10FTHF6GLUl,-0
GGH_10FTHF7GLUe,0
GGH_10FTHF7GLUl,-0
GGH_5DHFe,-0
GGH_5DHFl,-0
GGH_5THFe,0
GGH_5THFl,-0
GGH_6DHFe,-0
GGH_6DHFl,-0
GGH_6THFe,-0
GGH_6THFl,-0
GGH_7DHFe,-0
GGH_7DHFl,-0
GGH_7THFe,-0
GGH_7THFl,-0
GGNG,90.9090909090909
GGT5r,0
GHMT2rm,-0
GHMT3,-0
GLACO,-0
GLAl,0
GLBRAN,90.9090909090909
GLCAASE1ly,-0
GLCAASE4ly,-0
GLCAASE5ly,-0
GLCAASE6ly,-0
GLCAASE7ly,-0
GLCAASE8ly,-0
GLCAASE9ly,0
GLCAE2g,-0
GLCAT2g,0
GLCAT3g,0
GLCAT4g,0
GLCAT5g,0
GLCNACASE1ly,0
GLCNACASE2ly,0
GLCNACASE3ly,0
GLCNACASE4ly,0
GLCNACASE5ly,0
GLCNACDASg,0
GLCNACT1g,0
GLCt1,-201.35695501082
GLCt2_2,1000
GLCter,798.64304498918
GLCURtly,0
GLDBRAN,0
GLGNS1,90.9090909090909
GLPASE1,826.471981470017
GLPASE2,0
GLUCYS,0
GLUDC,-2.05634099901814e-13
GDHm,4.4962
GLUDym,4.4962
GLUt2m,955.217120895632
GLUt6,0
GLUTCOADHm,0
GLXO2p,0
GLXtm,767.741032688844
GLXtp,0
GLYAMDTRc,0
GLYCLTtp,0
GLYCTO1p,0
GLYOXm,0
GLYt4,0
GLYt7_211_r,-1000
GLYtm,-1000
GLYtp,0
GLYVESSEC_1,0
GNDer,0
GNMT,0
GPAM_hs_1,0
GPIAT,-0
GPIMTer_U,0
GQ1Bte,0
GSNt,33.7301382245559
GSNt4,0
GSNtl,-0
DHAOX_c,500
GTHPi,500
GTHPe,0
GTHPm,0
GTHS,0
GTMLTe,0
GUACYC,0
GUAD,0
HCO3Em,-1.95159217385984e-13
H2ETer,0
H2MTer_U,0
H2O2tp,0
H2Oter,428.914200569113
H2Otn,1000
H2Otp,0
H3ETer,0
H4ETer,0
H5MTer_U,0
H6_ETer,0
H6MTer_U,0
H7_ETer,0
H7MTer_U,0
HACD1m,0
HACD1x,0
HACD9m,-0
HAS1,0
HAS2,0
HBZOPT10m,0
HCO3_CLt,-1000
HDCAt,-1000
HDCEAt,0
HEX10,0
HEX4,0
HISTAtu,0
HISTAVESSEC_1,0
HIStiDF,0
HKYNH,0
HMGCOAS,-0
HMGCOASm,-83.4286078157705
HMGLm,83.4286078157705
HMGLx,0
HOMt4,0
HPDCACRNCPT1,0
HPDCACRNt,-1000
HPYRR2x_1,0
HSD11B1r,0
HSD17B1,-1000
HSD17B42x_1,0
HSD17B4x,0
HSD3B11,0
HSD3B13,0
Htr,-1000
Htx,21.2633164799999
HYPOE,0
ICDHyr,0
ICDHyp,0
ICDHym,-999.62722
IDHPOXOX2b,0
IDHPOXOX3,0
IDHPOXOX4,0
IDHPOXOXb,0
IDOAASE1ly,-0
IDOAASE2ly,0
IDOAASE3ly,0
IDOAASE4ly,0
IDOURtly,0
ILEt4,0
INOSTO,0
INSt,1000
INSt4,0
INSTt2,517.090474251994
IPDDIx,0
ITPtn,807.63544498918
KAS8,0
KCCt,1000
KHK,0
KHK2,-0
KHK3,0
Kt3g,0
KYN,0
KYNAKGAT,0
LACZe,-0
LAPCOAl,-0
LCADi_D,0
LCADm,-0
LCAT1e,0
LCYSTCBOXL,-0
LDH_Lm,-0
LEUKTRA4t,-0
LEUKTRB4t,0
LEUKTRC4t,238.070883733528
LEUKTRE4t,761.929116266472
LEUKTRF4t,-0
LEUt4,0
LFORKYNHYD,0
LGNCt,-1000
L_LACDcm,0
L_LACtcm,0
LNELDCCPT1,1.2158578836353e-13
LNELDCCRNt,1000
LNLCCPT1,0
LNLCCRNt,1000
LNLCt,0
LNLNCACPT1,0
LNLNCACRNt,0
LNLNCAt,0
LNLNCGCPT1,0
LNLNCGCRNt,1000
LNLNCGt,0
LNS14DM,-0
LPASE,0
LPS,0
LPS2,0
LPS2e,0
LPS3e,0
LPS4e,0
LRAT,0
LSTO2r,0
LTC4Sr,0
LTD4DP,-761.929116266472
LYSt4,0
LYSt5r,0
LYStm,0
MACACI,0
MACOXO,0
MALSO3tm,-1000
MALSO4tm,1000
MALtm,1000
MALTSULtm,1000
MALTt1r,-0
MANt1r,-0
MAOLNOR,0
MAOX,0
MELATNOX,0
METAT,0
METS,209.684207573673
METt4,0
MI1345PP,0
MI145PP,0
MI1PS,1000
MI34PP,-0
MMEm,-821.516311793212
MMMm,821.516311793212
MTHFCm,0
MTHFDm,-0
N3Tg,0
NABTNO,-0
NACASPAH,-0
NACHEX10ly,0
NACHEX11ly,0
NACHEX12ly,0
NACHEX13ly,0
NACHEX14ly,0
NACHEX15ly,0
NACHEX16ly,0
NACHEX17ly,0
NACHEX18ly,0
NACHEX19ly,0
NACHEX1ly,0
NACHEX20ly,0
NACHEX21ly,0
NACHEX22ly,0
NACHEX23ly,0
NACHEX24ly,0
NACHEX25ly,0
NACHEX26ly,0
NACHEX27ly,0
NACHEX2ly,0
NACHEX3ly,0
NACHEX4ly,0
NACHEX5ly,0
NACHEX6ly,0
NACHEX7ly,0
NACHEX8ly,0
NACHEX9ly,0
NACHEXA10ly,0
NACHEXA11ly,0
NACHEXA12ly,0
NACHEXA13ly,0
NACHEXA14ly,0
NACHEXA15ly,0
NACHEXA16ly,0
NACHEXA17ly,0
NACHEXA18ly,0
NACHEXA19ly,0
NACHEXA1ly,0
NACHEXA20ly,0
NACHEXA21ly,0
NACHEXA22ly,0
NACHEXA2ly,0
NACHEXA3ly,0
NACHEXA4ly,0
NACHEXA5ly,0
NACHEXA6ly,0
NACHEXA7ly,0
NACHEXA8ly,0
NACHEXA9ly,0
NADHtpu,21.2633164799999
NADNe,-0
NADPHtru,168.253220957621
NADPNe,0
NADPtru,168.253220957621
NAGA2ly,0
NAGAly,-0
NaKt_1,0
NAt,1000
NAt3_1g,0
NAt5,1000
NCCt,0
NCKt,0
NCNt,-1000
NDP10ex,0
NDP3ex,-0
NDP7er,-0
NDP7ex,0
NDP7g,0
NDP8ex,0
NDPK4n,925.287175738354
NDPK6n,-960.822754155175
NH4t3r,-1000
NH4tn,-960.822754155175
NKCC2t,-1000
NKCCt,-1000
NMNATm,807.63544498918
NMNATn,0
NMNAT,-1000
NMNS,0
NNATn,0
NNMT,0
NORANMT,0
NP1,0
NRPPHRtu,0
NRPPHRVESSEC_1,0
NS26T2g,0
NS26Tg,-0
NTD12,-0
NTD1m,0
NTD2l,0
NTD4e,0
NTD4l,0
NTD5l,0
NTD5m,0
NTD7e,0
NTD7l,0
NTD9e,-0
NTD9l,0
NTP3e,-0
NTPP10,-0
NTPP9,192.36455501082
O16G1e,-0
O16G2e,-0
O2St,-1000
O2tm,191.043424179126
O2tp,0
OCBTm,-1.95159217385984e-13
OCDCAt,-959.320704914028
OCDCEAt,-625.3808
OCOAT1m,0
OIVD2m,0
OPAH,-0
ORNt3m,1000
ORNt4m,-1000
ORNt,0
P45017A1r,-0
P45017A2r,0
P45017A3r,-0
P45017A4r,0
P45019A1r,0
P45019A2r,0
P4501B1r,0
P45027A11m,-0
P45027A12m,0
P45027A13m,0
P45027A14m,-0
P45027A15m,0
P45027A16m,0
P45027A1m,0
P4502A6,-0
P4502C18,-0
P4502C19,0
P4502C8,0
P4502C9,0
P4502C92,0
P4502C93,-0
P4502C94,0
P4502D6,0
P4502E1,0
P4502F1,-0
P45039A1r,-0
P4503A4,-0
P4503A43r,-0
P4503A5,-0
P4504B1r,0
P4504F122r,-0
P4504F81r,0
P4507A1r,0
P450LTB4r,0.85264704
P5CDm,-0
PAFH,-0
PAIL_HStn,500
PAIL45P_HStn,-500
PCFLOPm,-0
PCHOLP_hs,525.636077890414
PCRNtm,1000
PCt,0
PDE1,0
PDE4,0
PDX5POi,0
PDXPP,0
PEAMNO,-0
PEFLIP,0
PEFLIPm,0
PEPCK_re,0
PEPCKm,0.37278
PEt,40.5905177452256
PETHCT,0
PETOHMm_hs,0
PETOHMr_hs,0
PFK26,0
PGCD,0
PGESr,0
PGLer,966.896265946801
PGLYCt,10.6816380356021
PGPP_hs,0
PGPPT,0
PGS,0
PGSr,0
PHCDm,0
PHEt4,0
PHEtec,-1000
PI345P3P,0
PI345P3Pn,-0
PI345P5P,0
PI34P5K,0
PI3P4K,0
PI3P5K,0
PI45P3K,0
PI45P5P,0
PI45PLC,500
PI4P5K,0
PI4PLC,0
PI5P4K,0
PIK4,0
PIK5,0
PIPLC,0
PIter,798.64304498918
PItn,-1000
PLA2_2,0
PLA2_2e,0
PMI12346PH,0
PMI12346PHn,0
PPAer,0
PPAP,0
PPAtr,767.741032688844
PPDOy,1000
PPItr,-798.64304498918
PPPGOm,-0
PRDX,1000
PRDXl,0
PRGNLONESULT,0
PRODt2r,-0
PROSTGE2t,1000
PROSTGE2t2,-1000
PROSTGF2t,-1000
PROt4,0
PSDm_hs,0
PSFLIP,0
PSFLIPm,0
PSSA1_hs,-651.678966895611
PSt3,655.951768714821
PTDCACRNCPT1,-1.2158578836353e-13
PTDCACRNt,-1000
PTE2x,0
PTE3x,-0
PTE4x,-0
PYAM5PO,0
PYDXPP,-0
PYNP2r,39.1772458448253
RAI3,-0
RBK_Dr,-0
RDH1,-1000
RDH1a,1000
RDH2,0
RDH2a,0
RDH3,-1000
RDH3a,1000
RDH4,0
RIBFLVt3,0
RNMK,0
RTOTAL3CRNCPT1,-0
RTOTAL3CRNt,-0
S23T2g,0
S23T4g,0
S23Tg,-0
S2T4g,0
S3T3g,0
S4T1g,0
S4T2g,0
S4T3g,0
S4T6g,0
S6T18g,-0
S6T19g,0
S6T20g,0
S6T21g,0
S6T24g,0
S6T25g,0
S6T3g,-0
S6TASE11ly,-0
S6TASE12ly,-0
S6TASE13ly,-0
S6TASE14ly,-0
S6TASE15ly,-0
S6TASE16ly,-0
S6TASE17ly,-0
S6TASE18ly,-0
S6TASE19ly,-0
S6TASE1ly,0
S6TASE20ly,-0
S6TASE21ly,-0
S6TASE23ly,-0
S6TASE24ly,-0
S6TASE26ly,-0
S6TASE2ly,0
S6TASE3ly,0
SALMCOM,0
SARDHm,-0
SBPP1er,-0
SBPP3er,-0
SBTR,0
SERDGLNexR,6.88698983097927e-13
SERDGLYexR,-1000
SERGLNexR,-1000
SERGLYexR,-1000
SERt4,0
SGPL12r,0
SLDx,0
SMPD3g,0
SMPD4,0
SMS,12.8176724327846
SO4CLtex2,0
SO4HCOtex,308.184871847503
SO4OXAtex2,0
SOAT12,394.441343132029
SPC_HSt,-0
SPR,0
SPRMS,1000
SPTix,0
SRTNACT,0
SRTNtu,1000
ST6GALNAC21,0
ST6GALNAC22,0
ST6GALNAC23,0
ST6GALNAC24,-0
ST6GALNAC61,0
ST6GALNAC26,0
ST6GALNAC27,-0
ST6GALNAC28,0
STRDNCCPT1,0
STRDNCCRNt,1000
SUCCtm,-1000
SUCCt4_2,-1000
SUCD1m,821.516311793213
SUCOAS1m,-1000
SUCOASm,-821.516311793213
SUCRe,-0
SULFOX,0
TAURt4_2_r,-1000
TAURtcx,0
TCHOLAt,-1000
TCHOLAt2,0
TETPENT3CPT1,0
TETPENT3CRNt,-0
TETPENT6CPT1,0
TETPENT6CRNt,-0
TETTET6CPT1,0
TETTET6CRNt,-0
THMDt4,0
THRGLNexR,1000
THRGLYexR,-1000
THRt4,0
THYMDt1,1000
THYMDtl,-0
THYMDtm,9.59602824074024
THYMt,0
THYOXt,-0
THYPX,0
TMABADH,-0
TMDK1m,9.59602824074024
TMNDNCCPT1,0
TMNDNCCRNt,1000
TMNDNCt,2
TRDR,1000
TRIODTHYt,-0
TRPHYDRO2,0
TRPO2,0
TRPt4,0
TRYPTAOX,0
TSTSTERONEGLCte,0
TSTSTERONESULT,0
TSULt4_3,-0
TTDCAtr,0
TTDCRNt,1000
TYROXDAc,0
TYRt,0
TYRt4,0
UAG2EMA,0
UDPDOLPT_L,0
UDPGALtg,0
UDPGD,0
UDPGP,0
UGALNACtg,0
UGLCNACtg,0
UGT1A2r,0
UGT1A5r2,0
UMPK5n,35.5355784168211
UMPK6n,-35.535578416821
URAt,-1000
URATEt,1000
UREAt5,1000
UREAtm,1.95159217385984e-13
URIt,39.1772458448253
URIt4,0
Uritl,-0
UTPtn,960.822754155175
VALt4,0
VLCS2p,0
VLCS2r,0
VLCSp,0
VLCSr,0
XOLESTte,-394.441343132029
XYLTer,-0
XYLUR,-0
EX_4abutn_e,-1000
EX_ctp_e,1000
EX_dha_e,-0
EX_dhap_e,-1000
EX_dtmp_e,-1000
EX_dttp_e,1000
EX_fald_e,-0
EX_isomal_e,-399.18562249459
EX_HC00250_e,-1000
r0013,0
r0023,-0
r0027,-1000
NDP1,0
DPCOAKm,-0
CPS_m,0
r0047,0
r0068,0
r0074,-0
ALATA_Lm,-946.224720895632
r0083,1000
r0084,0
r0093,0
r0097,0
r0113,0
NTPP2,0
PYK3,0
GTHRDH_syn,0
GGTAe2,0
r0139,-1000
r0142,0
r0149,-1000
PYK4,0
SPTc,0
PYK2,1000
r0166,0
r0181,-1000
r0191,2.93842829241072e-13
r0193,-1000
r0196,-1000
r0202,-0
MAN1PT,0
r0210,0
r0221_1,0
DHFR2i,812.96794680037
DHFRim,0
r0239,0
ALCD19y,0
r0246,-0
r0249,-0
r0280,1000
r0283,0
r0308,0
ACOAR7m,-20.8571519539426
r0310,0
r0311,0
r0317,-999.62722
r0319,0
r0321,0
r0340,-0
r0354,0
r0355,0
r0357,0
r0358,0
r0360,0
r0361,0
r0363,0
r0364,0
ADADir,0
r0383,-0
PYDXO_1,-0
PYDXNO,-0
r0390_1,399.18562249459
NAPRT,-0
r0393,-0
r0402,0
r0403,0
r0407,63.5646731617405
r0408,-936.435326838259
r0409,1000
r0410,0
AGPOP,0
r0423,0
r0424,0
r0425,1000
r0426,999.62722
r0450,-0
DGNSK,0
r0463,-0
r0465_1,0
RNTR1,-905.733738008482
RNTR2,-26.4746583126433
RNTR3,-28.614357834049
RNTR4,-1000
r0480,0
r0494,-1000
r0497,-1000
r0509,0
r0512,187.03205319963
r0514,0
r0517,-1000
FTHFCLm,0
NMNDA,192.36455501082
DUTCP,-1000
SPHPL,0
r0541,0
ALDD19xr,1000
r0546,0
ALDD19x_P,-1000
r0548,0
r0560,0
r0571,-821.516311793213
r0573,0
APNPT,0
r0579,-0
PTPATim,-0
DPCOAPP,0
r0603,0
r0610,0
r0611,0
HPROx,-1000
HPROxm,-1000
HPROb,-1000
HPROym,1000
r0627,-0
r0629,0
r0630,0
r0633,0
ACOAR5m,0
