rxns,fluxvector
FAEL205,0
FAH1,0
FAH2,0
FAH3_1,0
FAOXC11,0
FAOXC140,0
FAOXC150m,0
FAOXC160,0
FAOXC16080m,0
FAOXC161802m,0
FAOXC16180m,-0
FAOXC170m,0
FAOXC180,0
FAOXC1811601m,-0
FAOXC1811602m_1,-0
FAOXC1811603m,109.946685955556
FAOXC182806m,-0
FAOXC18280m,0
FAOXC183803m,0
FAOXC183806m,0
FAOXC18480m,0
FAOXC200180m,0
FAOXC2031836m,0
FAOXC204,-0
FAOXC204184m,0
FAOXC2051843m,0
FAOXC2242046m,0
FAOXC2251836m,0
FAOXC2252053m,0
FAOXC226,0
FAOXC226205m,0
FAOXC80,109.946685955556
FAS100COA,0
FAS120COA,0
FAS140COA,0
FAS160COA,0
FAS180COA,0
FAS80COA_L,0
FATP4t,-1.11494659525584e-13
FATP5t,-271.710067596243
FATP6t,0
FATP7t,-4.48
FATP8t,-1000
FATP9t,0
FBA4,-0
FBA5,-0
FBP26,0
FCLTm,0
FDH,0
FE3R2e_1,-0
FK,-0
FKYNH,0
FOLR2,1000
FRUt1r,-0
FTHFDH,0
FTHFLmi,-0
FUCASE2e,0
FUCASE2ly,-0
FUCASEe,0
FUCASEly,0
FUMm,-3.80986110182537e-14
FUMSO3tm,-1000
FUMSO4tm,1000
FUMtm,1000
FUMTSULtm,-1000
FUT910g,-0
FUT911g,0
FUT91g,0
FUT92g,0
FUT93g,0
FUT94g,-0
FUT95g,0
FUT96g,0
FUT97g,0
FUT98g,0
FUT99g,-0
G14T18g,0
G14T19g,0
G14T20g,0
G14T21g,0
G14T2g,0
G14T3g,0
G14T4g,0
G14T5g,0
G6PDH1er,0
G6PDH2er,1000
G6PPer,0
G6Pter,-646.776224818171
GABAVESSEC_1,0
GAL3ST11,-0
GAL3ST12,0
GALNACT1g,0
GALNACT2g,0
GALNACT3g,0
GALNACT4g,0
GALNACT5g,0
GALNTg,0
GALOR,0
GALt1r,1000
GAO1,-0
GAO1g,0
GAO2,-0
GAO2g,0
GASNASE2ly,0
GASNASE3ly,0
GASNASEly,0
GBA,-0
GBAl,0
GCALDDm,-0
GCHOLAt,0
GCHOLAt2,0
GCNTg,0
GFUCS,0
GGH_10FTHF5GLUe,0
GGH_10FTHF5GLUl,-0
GGH_10FTHF6GLUe,0
GGH_10FTHF6GLUl,-0
GGH_10FTHF7GLUe,0
GGH_10FTHF7GLUl,-0
GGH_5DHFe,-0
GGH_5DHFl,-0
GGH_5THFe,0
GGH_5THFl,-0
GGH_6DHFe,-0
GGH_6DHFl,-0
GGH_6THFe,-0
GGH_6THFl,-0
GGH_7DHFe,-0
GGH_7DHFl,-0
GGH_7THFe,-0
GGH_7THFl,-0
GGNG,90.9090909090909
GGT5r,0
GHMT2rm,-0
GHMT3,-0
GLACO,-0
GLBRAN,90.9090909090909
GLCAASE1ly,-0
GLCAASE4ly,-0
GLCAASE5ly,-0
GLCAASE6ly,-0
GLCAASE7ly,-0
GLCAASE8ly,-0
GLCAASE9ly,0
GLCAE2g,-0
GLCAT2g,0
GLCAT3g,0
GLCAT4g,0
GLCAT5g,0
GLCNACASE1ly,0
GLCNACASE2ly,0
GLCNACASE3ly,0
GLCNACASE4ly,0
GLCNACASE5ly,0
GLCNACDASg,0
GLCNACT1g,0
GLCt1,-1000
GLCt2_2,1000
GLCter,646.776224818171
GLCURtly,0
GLDBRAN,0
GLGNS1,90.9090909090909
GLPASE1,839.279601446683
GLPASE2,0
GLUCYS,0
GLUDC,0
GDHm,4.4962
GLUDym,4.4962
GLUt2m,1000
GLUt6,371.512708795431
GLUTCOADHm,0
GLXO2p,0
GLXtm,991.007600000001
GLYAMDTRc,0
GLYCLTDym,0
GLYCTO1p,0
GLYOXm,0
GLYt4,0
GLYt7_211_r,-1000
GLYtm,-1000
GLYtp,3.718566
GLYVESSEC_1,0
GNDer,0
GNMT,0
GPAM_hs_1,0
GPIAT,-0
GPIMTer_U,0
GSNt,1000
GSNt4,0
GSNtl,-0
DHAOX_c,500
GTHPi,453.150457235047
GTHPe,0
GTHPm,0
GTHS,0
GTMLTe,0
GUACYC,0
GUAD,0
HCO3Em,-1.26158290150204e-13
H2ETer,0
H2MTer_U,0
H2O2tp,-4.4622792
H2Otn,1000
H2Otp,4.4622792
H3ETer,0
H4ETer,0
H5MTer_U,0
H6_ETer,0
H6MTer_U,0
H7_ETer,0
H7MTer_U,0
HACD1m,0
HACD1x,0
HACD9m,-0
HAS1,0
HAS2,0
HBZOPT10m,0
HCO3_CLt,-1000
HDCAt,0
HDCEAt,0
HEX10,0
HEX4,0
HISTAtu,0
HISTAVESSEC_1,0
HIStiDF,0
HKYNH,0
HMGCOAS,-0.7437132
HMGCOASm,0
HMGCOAtm,1.4874264
HMGCOAtx,-0.7437132
HMGLm,1.4874264
HMGLx,0
HOMt4,0
HPDCACRNCPT1,0
HPDCACRNt,-1000
HPYRR2x_1,0
HSD11B1r,0
HSD17B1,-1000
HSD17B42x_1,0
HSD17B4x,0
HSD3B11,0
HSD3B13,0
Htr,-469.875349745022
HYPOE,0
ICDHyr,0
ICDHyp,0
ICDHym,-1000
IDHPOXOX2b,0
IDHPOXOX3,0
IDHPOXOX4,0
IDHPOXOXb,0
IDOURtly,0
ILEt4,0
INOSTO,0
INSt,1000
INSt4,0
INSTt2,517.215146873562
IPDDIx,0
ITPtn,864.881783599304
KAS8,0
KCCt,1000
KHK,0
KHK2,-0
KHK3,0
Kt3g,0
KYN,0
KYNAKGAT,0
LACZe,-0
LAPCOAl,-0
LCADi_D,0
LCADm,-0
LCAT1e,0
LCYSTCBOXL,-0
LDH_Lm,-0
LEUKTRA4t,-0
LEUKTRB4t,-0
LEUKTRC4t,2.78046479879936e-14
LEUKTRE4t,1000
LEUKTRF4t,-0
LEUt4,0
LFORKYNHYD,0
LGNCt,-1000
L_LACDcm,0
L_LACtcm,0
LNELDCCPT1,0
LNELDCCRNt,1000
LNLCCPT1,0
LNLCCRNt,1000
LNLCt,-944.73
LNLNCACPT1,0
LNLNCACRNt,0
LNLNCAt,-0.23
LNLNCGCPT1,-1.11494659525584e-13
LNLNCGCRNt,1000
LNLNCGt,-1.11494659525584e-13
LNS14DM,-0
LPASE,0
LPS,0
LPS2,0
LPS2e,13.1900000000002
LPS3e,13.1900000000002
LPS4e,0
LRAT,0
LSTO2r,0
LTC4Sr,0
LTD4DP,-1000
LYSt4,0
LYSt5r,0
LYStm,0
MACACI,0
MACOXO,0
MALSO3tm,1000
MALSO4tm,-1000
MALtm,-1000
MALTSULtm,1000
MALTt1r,-0
MANt1r,-0
MAOLNOR,0
MAOX,0
MELATNOX,-0
METAT,0
METS,494.310406295342
METt4,0
MI1345PP,0
MI145PP,0
MI1PS,1000
MI34PP,-0
MMEm,-1000
MMMm,1000
MTHFCm,1000
MTHFDm,1000
N3Tg,0
NABTNO,-0
NACASPAH,-0
NACHEX10ly,0
NACHEX11ly,0
NACHEX12ly,0
NACHEX13ly,0
NACHEX14ly,0
NACHEX15ly,0
NACHEX16ly,0
NACHEX17ly,0
NACHEX18ly,0
NACHEX19ly,0
NACHEX1ly,0
NACHEX20ly,0
NACHEX21ly,0
NACHEX22ly,0
NACHEX23ly,0
NACHEX24ly,0
NACHEX25ly,0
NACHEX26ly,0
NACHEX27ly,0
NACHEX2ly,0
NACHEX3ly,0
NACHEX4ly,0
NACHEX5ly,0
NACHEX6ly,0
NACHEX7ly,0
NACHEX8ly,0
NACHEX9ly,0
NACHEXA10ly,0
NACHEXA11ly,0
NACHEXA12ly,0
NACHEXA13ly,0
NACHEXA14ly,0
NACHEXA15ly,0
NACHEXA16ly,0
NACHEXA17ly,0
NACHEXA18ly,0
NACHEXA19ly,0
NACHEXA1ly,0
NACHEXA20ly,0
NACHEXA21ly,0
NACHEXA22ly,0
NACHEXA2ly,0
NACHEXA3ly,0
NACHEXA4ly,0
NACHEXA5ly,0
NACHEXA6ly,0
NACHEXA7ly,0
NACHEXA8ly,0
NACHEXA9ly,0
NADNe,-0
NADPHtru,147.224737572801
NADPNe,0
NADPtru,147.224737572801
NAGA2ly,0
NAGAly,-0
NaKt_1,0
NAt,-1000
NAt3_1g,0
NAt5,-1000
NCCt,0
NCKt,-1000
NCNt,0
NDP10ex,0
NDP3ex,-0
NDP7er,-0
NDP7ex,0
NDP7g,0
NDP8ex,0
NDPK4n,973.69130774739
NDPK6n,-960.536961621085
NH4t3r,-1000
NH4tn,-960.536961621085
NKCC2t,-1000
NKCCt,371.512708795431
NMNATm,864.881783599305
NMNATn,0
NMNAT,-1000
NMNS,-0
NNATn,0
NNMT,0
NORANMT,0
NP1,0
NRPPHRt4_2_r,-1000
NRPPHRtu,1000
NRPPHRVESSEC_1,0
NS26T2g,0
NS26Tg,-0
NTD12,-0
NTD1m,0
NTD2l,0
NTD4e,0
NTD4l,0
NTD5l,0
NTD5m,0
NTD7e,0
NTD7l,0
NTD9e,-0
NTD9l,0
NTP3e,-0
NTPP10,-0
NTPP9,135.118216400696
O16G1e,-0
O16G2e,-0
O2St,-1000
O2ter,-352.775262427199
O2tm,362.074262427197
OCBTm,-1.26158290150204e-13
OCDCAt,97.07
OCDCEAt,336.3192
OCOAT1m,0
OPAH,-0
ORNt3m,1000
ORNt4m,-1000
ORNt,0
OXAHCOtex,0
P45017A1r,-0
P45017A2r,0
P45017A3r,-0
P45017A4r,0
P45019A1r,0
P45019A2r,0
P4501B1r,0
P45027A11m,-0
P45027A12m,0
P45027A13m,0
P45027A14m,-0
P45027A15m,0
P45027A16m,0
P45027A1m,0
P4502A6,-0
P4502C18,-0
P4502C19,0
P4502C8,0
P4502C9,0
P4502C92,0
P4502C93,-0
P4502C94,0
P4502D6,0
P4502E1,0
P4502F1,-0
P45039A1r,-0
P4503A4,-0
P4503A43r,-0
P4503A5,-0
P4504B1r,0
P4504F122r,-0
P4504F81r,0
P4507A1r,0
P450LTB4r,0
P5CDm,-0
PAFH,-0
PAIL_HStn,500
PAIL45P_HStn,-500
PCFLOPm,-0
PCHOL_HSter,0
PCHOLP_hs,525.823089496422
PCRNtm,1000
PCt,0
PDE1,0
PDE4,0
PDX5POi,0
PDXPP,0
PE_HSter,-1000
PEAMNO,-0
PEFLIP,0
PEFLIPm,0
PEPCK_re,2.22006475387811e-13
PEPCKm,0.37278
PEt,396.62095032365
PETHCT,0
PETOHMm_hs,0
PETOHMr_hs,0
PFK26,0
PGCD,0
PGESr,0
PGLer,1000
PGLYCt,10.7595590924961
PGPP_hs,0
PGPPT,0
PGS,0
PGSr,0
PHCDm,0
PHEt4,0
PHEtec,-1000
PI345P3P,0
PI345P3Pn,-0
PI345P5P,0
PI34P5K,0
PI3P4K,0
PI3P5K,0
PI45P3K,0
PI45P5P,0
PI45PLC,500
PI4P5K,0
PI4PLC,0
PI5P4K,0
PIK4,0
PIK5,0
PIPLC,0
PIter,-353.223775181828
PItn,-1000
PLA2_2,0
PLA2_2e,0
PMI12346PH,0
PMI12346PHn,0
PPAer,0
PPAP,0
PPAtr,-0
PPDOy,0
PPItr,-646.776224818171
PPPGOm,-0
PRDX,1000
PRDXl,0
PRGNLONESULT,0
PRODt2r,-0
PROSTGE2t,1000
PROSTGE2t2,0
PROSTGF2t,-0
PROt4,0
PSDm_hs,0
PSFLIP,0
PSFLIPm,0
PSSA1_hs,-784.139937779148
PSt3,788.443909090578
PTDCACRNCPT1,0
PTDCACRNt,-1000
PTE2x,0
PTE3x,-0
PTE4x,-0
PYAM5PO,0
PYDXPP,-0
PYNP2r,0
RAI3,-0
RBK_Dr,-0
RDH1,-1000
RDH1a,1000
RDH2,-1000
RDH2a,1000
RDH3,-1000
RDH3a,1000
RDH4,0
RIBFLVt3,0
RTOTAL3CRNCPT1,-0
RTOTAL3CRNt,-0
S23T2g,0
S23T4g,0
S23Tg,-0
S2T4g,0
S3T3g,0
S4T1g,0
S4T2g,0
S4T3g,0
S4T6g,0
S6T18g,-0
S6T19g,0
S6T20g,0
S6T21g,0
S6T24g,0
S6T25g,0
S6T3g,-0
S6TASE11ly,-0
S6TASE12ly,-0
S6TASE13ly,-0
S6TASE14ly,-0
S6TASE15ly,-0
S6TASE16ly,-0
S6TASE17ly,-0
S6TASE18ly,-0
S6TASE19ly,-0
S6TASE1ly,0
S6TASE20ly,-0
S6TASE21ly,-0
S6TASE23ly,-0
S6TASE24ly,-0
S6TASE26ly,-0
S6TASE2ly,0
S6TASE3ly,0
SALMCOM,0
SARDHm,-0
SBPP1er,-0
SBPP3er,-0
SBTR,0
SERDGLNexR,-1000
SERDGLYexR,0
SERGLNexR,-1000
SERGLYexR,-1000
SERt4,0
SGPL12r,0
SLDx,0
SMPD3g,0
SMPD4,-0
SMS,12.9111755621319
SO4CLtex2,0
SO4HCOtex,916.428792263602
SO4OXAtex2,0
SOAT12,943.530750422222
SPR,0
SPRMS,0
SPTix,0
SRTNACT,0
SRTNtu,-1000
ST6GALNAC21,0
ST6GALNAC22,0
ST6GALNAC23,0
ST6GALNAC24,-0
ST6GALNAC61,0
ST6GALNAC26,0
ST6GALNAC27,-0
ST6GALNAC28,0
STRDNCCPT1,8.04438269333312e-13
STRDNCCRNt,1000
SUCCtm,-1000
SUCCt4_2,-1000
SUCD1m,1000
SUCOAS1m,-1000
SUCOASm,-1000
SUCRe,-0
SULFOX,0
TAURt4_2_r,-1000
TAURtcx,0
TCHOLAt,-1000
TCHOLAt2,0
TETPENT3CPT1,0
TETPENT3CRNt,-0
TETPENT6CPT1,0
TETPENT6CRNt,-0
TETTET6CPT1,0
TETTET6CRNt,-0
THMDt4,0
THRGLNexR,-1000
THRGLYexR,-1000
THRt4,0
THYMDt1,1000
THYMDtl,-0
THYMDtm,9.66602992587588
THYMt,0
THYOXt,-0
THYPX,0
TMABADH,-0
TMDK1m,9.66602992587588
TMNDNCCPT1,0
TMNDNCCRNt,1000
TRDR,1000
TRIODTHYt,-0
TRPHYDRO2,0
TRPO2,0
TRPt4,0
TRYPTAOX,0
TSTSTERONEGLCte,0
TSTSTERONESULT,0
TSULt4_3,-0
TTDCAtr,0
TTDCRNt,-1000
TYROXDAc,0
TYRt,0
TYRt4,0
UAG2EMA,0
UDPDOLPT_L,0
UDPGALtg,0
UDPGD,0
UDPGP,0
UGALNACtg,0
UGLCNACtg,0
UGT1A2r,0
UGT1A5r2,0
UMPK5n,-13.1543461263049
UMPK6n,13.1543461263049
UMPtr,0
URAt,-0
URATEt,1000
UREAt5,1000
UREAtm,0
URIt,0
URIt4,0
Uritl,-0
UTPtn,960.536961621086
VALt4,0
VLCS2p,0
VLCS2r,0
VLCSp,0
VLCSr,0
XOLESTte,-943.530750422222
XYLTer,-0
XYLUR,-0
EX_acmana_e,-0
EX_ctp_e,1000
EX_dha_e,-0
EX_dhap_e,-1000
EX_dtmp_e,-1000
EX_dttp_e,1000
EX_fald_e,6.30302702113735e-27
EX_HC00250_e,-1000
EX_HC01609_e,22.6824104680282
EX_cpppg1_e,-22.6824104680282
r0013,0
r0023,-0
NDP1,0
DPCOAKm,-0
CPS_m,0
r0047,0
r0068,0
r0074,-0
ALATA_Lm,-991.007600000001
r0083,1000
r0084,0
r0093,0
r0097,0
r0113,0
NTPP2,0
PYK3,117.336934810996
GTHRDH_syn,0
GGTAe2,0
r0139,-1000
r0142,0
r0149,-1000
PYK4,0
SPTc,0
PYK2,936.23709405933
r0166,0
r0181,-1000
r0191,0
r0193,-1000
r0196,-1000
r0202,1.14664550320244e-13
MAN1PT,0
r0210,0
r0221_1,0
DHFR2i,0
DHFRim,0
r0239,0
ALCD19y,0
r0246,-0
r0249,-0
r0280,924.446068889675
r0283,0
r0308,0
ACOAR7m,0
r0310,0
r0311,0
r0317,-1000
r0319,0
r0321,0
r0340,-0
r0354,0
r0355,0
r0357,0
r0358,0
r0360,0
r0361,0
r0363,0
r0364,0
ADADir,0
r0383,-0
PYDXO_1,-0
PYDXNO,-0
r0390_1,-0
NAPRT,-0
r0393,-0
r0402,0
r0403,0
r0407,-38.660906070706
r0408,-974.898000130035
r0409,936.237094059329
r0410,0
AGPOP,0
r0423,0
r0424,-0
r0425,1000
r0426,1000
r0450,-0
DGNSK,0
r0463,-0.7437132
r0465_1,0
RNTR1,-905.046078799348
RNTR2,-992.691592375959
RNTR3,-28.8230955760827
RNTR4,-1000
r0494,-1000
r0497,-1000
r0512,1000
r0514,0
r0517,-1000
FTHFCLm,-0
NMNDA,135.118216400695
DUTCP,-1000
SPHPL,0
r0541,0
ALDD19xr,0
r0546,0
ALDD19x_P,0
r0548,0
r0560,0
r0571,-1000
r0573,0
APNPT,0
r0579,-0
PTPATim,-0
DPCOAPP,0
r0603,0
r0610,0
r0611,0
HPROx,-1000
HPROxm,0
HPROb,-1000
HPROym,0
r0629,0
r0630,0
r0633,0
ACOAR5m,0
r0641,-1000
r0642,-0
r0643,1.28199268575275e-13
r0648,0
r0649_1,0
r0650,0
r0651,0
r0652_1,-494.846999324444
r0655,0
r0673,-0
r0686,0
r0688,0
ACOAR4m,0
r0739,0
r0741,-0
r0743,0
r0744,-0
r0752,0
r0753,0
r0754,-1000
r0755,1000
r0756,-1000
r0757,1000
5HOXINDACTOX,0
r0774,-22.6824104680282
r0782,0
r0786,0
SBPP1,-0
ACOAR2m,0
